model_seed,method,source_index,scale,nominal_change,functional_change,prediction_preserved
2,r0_mlp,8536,0.05,0.0034834882244467735,2.3763993439729347e-08,1
2,r0_mlp,9221,0.05,0.0031290515325963497,2.5720151342056852e-08,1
2,r0_mlp,1611,0.05,0.004146143328398466,1.8688213643258678e-08,1
2,r0_mlp,7515,0.05,0.0027720865327864885,2.239733909448205e-08,1
2,r0_mlp,6955,0.05,0.002427620580419898,1.3484305227962068e-08,1
2,r0_mlp,6687,0.05,0.00521317170932889,4.0027504866202435e-08,1
2,r0_mlp,9435,0.05,0.00334669160656631,1.614976596897577e-08,1
2,r0_mlp,5705,0.05,0.002678695134818554,2.090635575768829e-08,1
2,r0_mlp,7842,0.05,0.004039997234940529,2.3377609181807202e-08,1
2,r0_mlp,7666,0.05,0.0026840202044695616,1.4175036255892337e-08,1
2,r0_mlp,1321,0.05,0.0021671897266060114,1.076003641742318e-08,1
2,r0_mlp,3281,0.05,0.0016680402914062142,1.3156030043148803e-08,1
2,r0_mlp,5843,0.05,0.006196625530719757,5.116971735219522e-08,1
2,r0_mlp,1544,0.05,0.005429187789559364,4.2582019688097716e-08,1
2,r0_mlp,1476,0.05,0.0027003339491784573,1.5219827176338185e-08,1
2,r0_mlp,1552,0.05,0.003858190029859543,2.6497863458985194e-08,1
2,r0_mlp,2777,0.05,0.0024752768222242594,1.2068003485410372e-08,1
2,r0_mlp,1240,0.05,0.004203727934509516,2.7002137414910976e-08,1
2,r0_mlp,6482,0.05,0.0029630146455019712,1.3452385871914885e-08,1
2,r0_mlp,8698,0.05,0.0027492556255310774,2.3115838132525823e-08,1
2,r0_mlp,6248,0.05,0.0025386454071849585,1.36376900883306e-08,1
2,r0_mlp,4323,0.05,0.0024598196614533663,2.248722985598306e-08,1
2,r0_mlp,4597,0.05,0.0024904038291424513,1.5864852542790686e-08,1
2,r0_mlp,9046,0.05,0.004318179562687874,2.1488540724590166e-08,1
2,r0_mlp,5389,0.05,0.004433594644069672,2.6760098137401656e-08,1
2,r0_mlp,5710,0.05,0.005533588118851185,5.961562266065812e-08,1
2,r0_mlp,7103,0.05,0.0040358263067901134,1.9272974327577685e-08,1
2,r0_mlp,7263,0.05,0.0028048951644450426,1.48647210096442e-08,1
2,r0_mlp,5244,0.05,0.0025589563883841038,1.5320296142817824e-08,1
2,r0_mlp,5242,0.05,0.0020766498055309057,1.4933883463186248e-08,1
2,r0_mlp,9775,0.05,0.0024160845205187798,1.6037125405432562e-08,1
2,r0_mlp,249,0.05,0.002388914115726948,1.5166335742833326e-08,1
2,r0_mlp,1521,0.05,0.005391795188188553,3.112336344202049e-08,1
2,r0_mlp,5149,0.05,0.0013291965005919337,1.4321602570532832e-08,1
2,r0_mlp,7070,0.05,0.002334531396627426,2.1453059773079985e-08,1
2,r0_mlp,6433,0.05,0.0032127192243933678,1.8036173443647385e-08,1
2,r0_mlp,2689,0.05,0.0030404122080653906,1.8762770892521985e-08,1
2,r0_mlp,5968,0.05,0.002909519476816058,1.4584345287005362e-08,1
2,r0_mlp,7768,0.05,0.004769045393913984,2.793711928461562e-08,1
2,r0_mlp,6122,0.05,0.003338602837175131,3.023529160373073e-08,1
2,r0_mlp,4860,0.05,0.003708252916112542,1.604231769647413e-08,1
2,r0_mlp,3537,0.05,0.0024965170305222273,2.3132367132916443e-08,1
2,r0_mlp,2000,0.05,0.00434747664257884,2.1707933228753973e-08,1
2,r0_mlp,544,0.1,0.007059293799102306,1.5588186386139569e-07,1
2,r0_mlp,4306,0.1,0.010037492960691452,8.053340820879384e-07,1
2,r0_mlp,6410,0.1,0.005801841616630554,5.050801377137759e-08,1
2,r0_mlp,6382,0.1,0.0089742885902524,1.0225910784811276e-07,1
2,r0_mlp,8949,0.1,0.006012638099491596,1.2628632362066128e-07,1
2,r0_mlp,9600,0.1,0.009392756968736649,1.5844592837765958e-07,1
2,r0_mlp,486,0.1,0.0063021681271493435,1.7519199957405363e-07,1
2,r0_mlp,109,0.1,0.007592505309730768,1.3541519194859575e-07,1
2,r0_mlp,2500,0.1,0.00909886509180069,2.3023497419671912e-07,1
2,r0_mlp,1413,0.1,0.0074080415070056915,1.9804518558430573e-07,1
2,r0_mlp,360,0.1,0.006781117990612984,1.7931503748513933e-07,1
2,r0_mlp,2139,0.1,0.008706329390406609,2.2941806321341573e-07,1
2,r0_mlp,9158,0.1,0.004097354598343372,4.012988696899811e-08,1
2,r0_mlp,3213,0.1,0.002686611842364073,3.548839089262401e-08,1
2,r0_mlp,8351,0.1,0.004903231747448444,5.105907163738266e-08,1
2,r0_mlp,4655,0.1,0.006734897848218679,1.0431589458903545e-07,1
2,r0_mlp,6249,0.1,0.004864281974732876,2.8878632818418737e-08,1
2,r0_mlp,8929,0.1,0.002576103899627924,1.5959642496454762e-08,1
2,r0_mlp,6036,0.1,0.005171974655240774,2.311877125293904e-07,1
