model_seed,method,angle,host,mean_route_mass,host_specialization
0,r5_smooth_residual_continuity,-60.0,1,0.14911583065986633,0.0010374188423156738
0,r5_smooth_residual_continuity,-60.0,2,0.35473260283470154,0.0003312826156616211
0,r5_smooth_residual_continuity,-60.0,3,0.20648030936717987,0.006186246871948242
0,r5_smooth_residual_continuity,-45.0,0,0.2871609330177307,0.0001099705696105957
0,r5_smooth_residual_continuity,-45.0,1,0.15972629189491272,0.0010374188423156738
0,r5_smooth_residual_continuity,-45.0,2,0.3581768870353699,0.0003312826156616211
0,r5_smooth_residual_continuity,-45.0,3,0.19493582844734192,0.006186246871948242
0,r5_smooth_residual_continuity,-30.0,0,0.28954094648361206,0.0001099705696105957
0,r5_smooth_residual_continuity,-30.0,1,0.17097851634025574,0.0010374188423156738
0,r5_smooth_residual_continuity,-30.0,2,0.3668364882469177,0.0003312826156616211
0,r5_smooth_residual_continuity,-30.0,3,0.17264407873153687,0.006186246871948242
0,r5_smooth_residual_continuity,-15.0,0,0.2971135973930359,0.0001099705696105957
0,r5_smooth_residual_continuity,-15.0,1,0.17802929878234863,0.0010374188423156738
0,r5_smooth_residual_continuity,-15.0,2,0.377432644367218,0.0003312826156616211
0,r5_smooth_residual_continuity,-15.0,3,0.14742445945739746,0.006186246871948242
0,r5_smooth_residual_continuity,0.0,0,0.30047911405563354,0.0001099705696105957
0,r5_smooth_residual_continuity,0.0,1,0.18038047850131989,0.0010374188423156738
0,r5_smooth_residual_continuity,0.0,2,0.38593587279319763,0.0003312826156616211
0,r5_smooth_residual_continuity,0.0,3,0.13320456445217133,0.006186246871948242
0,r5_smooth_residual_continuity,15.0,0,0.30120354890823364,0.0001099705696105957
0,r5_smooth_residual_continuity,15.0,1,0.17913669347763062,0.0010374188423156738
0,r5_smooth_residual_continuity,15.0,2,0.3936716318130493,0.0003312826156616211
0,r5_smooth_residual_continuity,15.0,3,0.12598809599876404,0.006186246871948242
0,r5_smooth_residual_continuity,30.0,0,0.3001099228858948,0.0001099705696105957
0,r5_smooth_residual_continuity,30.0,1,0.17358456552028656,0.0010374188423156738
0,r5_smooth_residual_continuity,30.0,2,0.3966117203235626,0.0003312826156616211
0,r5_smooth_residual_continuity,30.0,3,0.12969382107257843,0.006186246871948242
0,r5_smooth_residual_continuity,45.0,0,0.3049822449684143,0.0001099705696105957
0,r5_smooth_residual_continuity,45.0,1,0.1652650535106659,0.0010374188423156738
0,r5_smooth_residual_continuity,45.0,2,0.3919735848903656,0.0003312826156616211
0,r5_smooth_residual_continuity,45.0,3,0.1377790868282318,0.006186246871948242
0,r5_smooth_residual_continuity,60.0,0,0.30821460485458374,0.0001099705696105957
0,r5_smooth_residual_continuity,60.0,1,0.1583082675933838,0.0010374188423156738
0,r5_smooth_residual_continuity,60.0,2,0.3807740807533264,0.0003312826156616211
0,r5_smooth_residual_continuity,60.0,3,0.15270301699638367,0.006186246871948242
0,r5_smooth_residual_continuity,75.0,0,0.3069659471511841,0.0001099705696105957
0,r5_smooth_residual_continuity,75.0,1,0.15532442927360535,0.0010374188423156738
0,r5_smooth_residual_continuity,75.0,2,0.3688252866268158,0.0003312826156616211
0,r5_smooth_residual_continuity,75.0,3,0.16888432204723358,0.006186246871948242
1,r0_mlp,-75.0,0,0.45034581422805786,0.0029751062393188477
1,r0_mlp,-75.0,1,0.1733269989490509,0.005116105079650879
1,r0_mlp,-75.0,2,0.132597416639328,0.0019080042839050293
1,r0_mlp,-75.0,3,0.24372979998588562,0.00019431114196777344
1,r0_mlp,-60.0,0,0.41726937890052795,0.0029751062393188477
1,r0_mlp,-60.0,1,0.19815796613693237,0.005116105079650879
1,r0_mlp,-60.0,2,0.14282329380512238,0.0019080042839050293
1,r0_mlp,-60.0,3,0.2417493611574173,0.00019431114196777344
1,r0_mlp,-45.0,0,0.3759891986846924,0.0029751062393188477
1,r0_mlp,-45.0,1,0.22319252789020538,0.005116105079650879
1,r0_mlp,-45.0,2,0.15629538893699646,0.0019080042839050293
1,r0_mlp,-45.0,3,0.24452289938926697,0.00019431114196777344
1,r0_mlp,-30.0,0,0.33684051036834717,0.0029751062393188477
1,r0_mlp,-30.0,1,0.24615781009197235,0.005116105079650879
1,r0_mlp,-30.0,2,0.16907382011413574,0.0019080042839050293
1,r0_mlp,-30.0,3,0.24792790412902832,0.00019431114196777344
1,r0_mlp,-15.0,0,0.32580989599227905,0.0029751062393188477
1,r0_mlp,-15.0,1,0.24880723655223846,0.005116105079650879
1,r0_mlp,-15.0,2,0.17314216494560242,0.0019080042839050293
1,r0_mlp,-15.0,3,0.25224071741104126,0.00019431114196777344
