model_seed,metric,angle_a,angle_b,factor_gap,category,distance
0,bures,30.0,75.0,45.0,mid,0.18754648566207757
0,bures,45.0,60.0,15.0,near,0.08872406744570846
0,bures,45.0,75.0,30.0,near,0.1282937750539646
0,bures,60.0,75.0,15.0,near,0.06712174104490692
0,centroid_plus_log_euclidean,-75.0,-60.0,15.0,near,0.5794209226719131
0,centroid_plus_log_euclidean,-75.0,-45.0,30.0,near,1.3558761434347817
0,centroid_plus_log_euclidean,-75.0,-30.0,45.0,mid,1.913057484822195
0,centroid_plus_log_euclidean,-75.0,-15.0,60.0,mid,1.9895679045885695
0,centroid_plus_log_euclidean,-75.0,0.0,75.0,mid,1.9584826258658
0,centroid_plus_log_euclidean,-75.0,15.0,90.0,far,1.9450082293716426
0,centroid_plus_log_euclidean,-75.0,30.0,105.0,far,1.8245071846519911
0,centroid_plus_log_euclidean,-75.0,45.0,120.0,far,1.530146932132907
0,centroid_plus_log_euclidean,-75.0,60.0,135.0,far,1.1356312917330253
0,centroid_plus_log_euclidean,-75.0,75.0,150.0,far,0.7706945871869941
0,centroid_plus_log_euclidean,-60.0,-45.0,15.0,near,0.8692091949422818
0,centroid_plus_log_euclidean,-60.0,-30.0,30.0,near,1.5781664896857703
0,centroid_plus_log_euclidean,-60.0,-15.0,45.0,mid,1.8287206217739185
0,centroid_plus_log_euclidean,-60.0,0.0,60.0,mid,1.8971436845664078
0,centroid_plus_log_euclidean,-60.0,15.0,75.0,mid,1.8531580223460695
0,centroid_plus_log_euclidean,-60.0,30.0,90.0,far,1.7195299877622912
0,centroid_plus_log_euclidean,-60.0,45.0,105.0,far,1.5788194742897403
0,centroid_plus_log_euclidean,-60.0,60.0,120.0,far,1.3387810684466048
0,centroid_plus_log_euclidean,-60.0,75.0,135.0,far,0.9956777382943869
0,centroid_plus_log_euclidean,-45.0,-30.0,15.0,near,0.8874252961377865
0,centroid_plus_log_euclidean,-45.0,-15.0,30.0,near,1.4464041628496482
0,centroid_plus_log_euclidean,-45.0,0.0,45.0,mid,1.7112927251329588
0,centroid_plus_log_euclidean,-45.0,15.0,60.0,mid,1.7297270473803703
0,centroid_plus_log_euclidean,-45.0,30.0,75.0,mid,1.5736130040176834
0,centroid_plus_log_euclidean,-45.0,45.0,90.0,far,1.6463529054941377
0,centroid_plus_log_euclidean,-45.0,60.0,105.0,far,1.6484202763868807
0,centroid_plus_log_euclidean,-45.0,75.0,120.0,far,1.4316928175145702
0,centroid_plus_log_euclidean,-30.0,-15.0,15.0,near,0.7780520084244797
0,centroid_plus_log_euclidean,-30.0,0.0,30.0,near,1.179453761712724
0,centroid_plus_log_euclidean,-30.0,15.0,45.0,mid,1.3407579631962467
0,centroid_plus_log_euclidean,-30.0,30.0,60.0,mid,1.3534893623380655
0,centroid_plus_log_euclidean,-30.0,45.0,75.0,mid,1.7321941763317106
0,centroid_plus_log_euclidean,-30.0,60.0,90.0,far,1.955481175526775
0,centroid_plus_log_euclidean,-30.0,75.0,105.0,far,1.886012265476901
0,centroid_plus_log_euclidean,-15.0,0.0,15.0,near,0.49141926475308073
0,centroid_plus_log_euclidean,-15.0,15.0,30.0,near,0.8248743101955034
0,centroid_plus_log_euclidean,-15.0,30.0,45.0,mid,1.0983664982519175
0,centroid_plus_log_euclidean,-15.0,45.0,60.0,mid,1.6666870459208254
0,centroid_plus_log_euclidean,-15.0,60.0,75.0,mid,1.9891844965025367
0,centroid_plus_log_euclidean,-15.0,75.0,90.0,far,1.9885677122898917
0,centroid_plus_log_euclidean,0.0,15.0,15.0,near,0.4642563758973274
0,centroid_plus_log_euclidean,0.0,30.0,30.0,near,0.9475912201819603
0,centroid_plus_log_euclidean,0.0,45.0,45.0,mid,1.6151831606630247
0,centroid_plus_log_euclidean,0.0,60.0,60.0,mid,1.9904450231866517
0,centroid_plus_log_euclidean,0.0,75.0,75.0,mid,2.0411503544982956
0,centroid_plus_log_euclidean,15.0,30.0,15.0,near,0.6272783744440126
0,centroid_plus_log_euclidean,15.0,45.0,30.0,near,1.38550996919026
0,centroid_plus_log_euclidean,15.0,60.0,45.0,mid,1.8418825009356907
0,centroid_plus_log_euclidean,15.0,75.0,60.0,mid,1.9694738345321858
0,centroid_plus_log_euclidean,30.0,45.0,15.0,near,0.8250691979366851
0,centroid_plus_log_euclidean,30.0,60.0,30.0,near,1.3717127673412615
