contrast,partition,geometry,metric,mean_seed_effect,seed_ci_low,seed_ci_high,seed_sd,seed_count,favorable_seed_fraction
r5_smooth_residual_continuity_vs_r0_mlp,trained,functional,stress,-0.03468850274521094,-0.06141919991866923,-0.00795780557175264,0.02152812452654489,5,0.8
r5_smooth_residual_continuity_vs_r0_mlp,trained,nominal,rho,0.04355734928536947,0.010632085477434917,0.07648261309330404,0.026517047973981175,5,1.0
r5_smooth_residual_continuity_vs_r0_mlp,trained,nominal,stress,-0.031621476779968585,-0.05558551379802347,-0.007657439761913701,0.019299937062459794,5,1.0
r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,functional,rho,0.010885849619518701,-0.0486845878839342,0.0704562871229716,0.04797629438368957,5,0.6
r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,functional,stress,-0.01785922344415135,-0.06711489987549746,0.03139645298719475,0.03966908640550185,5,0.8
r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,nominal,rho,0.0102403523951508,-0.04320350255845807,0.06368420734875967,0.04304212333684682,5,0.6
r5_smooth_residual_continuity_vs_r1_linear,heldout_dense,nominal,stress,-0.009671226782252849,-0.048824749568693336,0.029482296004187634,0.03153310625344804,5,0.4
r5_smooth_residual_continuity_vs_r1_linear,trained,functional,rho,3.6581749357157686e-05,-0.06748398020531486,0.06755714370402917,0.05437909293685696,5,0.4
r5_smooth_residual_continuity_vs_r1_linear,trained,functional,stress,-0.010776119668267118,-0.07370860176643246,0.05215636242989822,0.05068398712470169,5,0.4
r5_smooth_residual_continuity_vs_r1_linear,trained,nominal,rho,0.0006177643026153742,-0.06084591537900176,0.062081443984232515,0.049501056461758244,5,0.6
r5_smooth_residual_continuity_vs_r1_linear,trained,nominal,stress,-0.004628796160375001,-0.05592352771691557,0.046665935396165564,0.04131128198187697,5,0.4
r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,functional,rho,0.027785926733286413,-0.02837655955286765,0.08394841301944048,0.04523162978664166,5,0.6
r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,functional,stress,0.0021996785036033466,-0.02896279294930816,0.033362149956514854,0.02509734638194568,5,0.4
r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,nominal,rho,0.010658196580567523,-0.03630994103638237,0.05762633419751742,0.03782676930707148,5,0.6
r5_smooth_residual_continuity_vs_r3_hybrid_energy,heldout_dense,nominal,stress,-0.006973663114727681,-0.03611996932078432,0.022172643091328954,0.02347358564653616,5,0.8
r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,functional,rho,0.008720209930808645,-0.06656737773413109,0.08400779759574838,0.060634429099863836,5,0.6
r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,functional,stress,0.004761076998103544,-0.024944688461620058,0.03446684245782715,0.02392415782586672,5,0.6
r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,nominal,rho,-0.012921404464672038,-0.07995721542242316,0.054114406493079095,0.05398868861038688,5,0.4
r5_smooth_residual_continuity_vs_r3_hybrid_energy,trained,nominal,stress,-0.006856539584892528,-0.03739518967974664,0.023682110509961586,0.024594938839357802,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,functional,rho,0.015232005484660091,-0.04957851983301547,0.08004253080233566,0.05219650840439336,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,functional,stress,-0.017361699076717665,-0.06428580391774347,0.02956240576430814,0.03779130659253052,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,nominal,rho,0.01434271779073181,-0.0530846091044453,0.08177004468590891,0.05430400413696442,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,heldout_dense,nominal,stress,-0.010041777862621398,-0.057302826475711034,0.037219270750468235,0.038062671287449,5,0.6
r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,functional,rho,0.020781511684765386,-0.04596679503058068,0.08752981840011145,0.05375714107190548,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,functional,stress,-0.017842682242655193,-0.06259078632457005,0.026905421839259668,0.03603881899342253,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,nominal,rho,0.0227023415260164,-0.04826260469122594,0.09366728774325873,0.057153099646847005,5,0.8
r5_smooth_residual_continuity_vs_r4_smooth_residual,trained,nominal,stress,-0.014158911932358473,-0.057503478122601356,0.029185654257884414,0.034908450476897626,5,0.8
