model_seed,method,partition,metric,mean,q90,q95,q99,max,pairs
3,r5_smooth_residual_continuity,trained,nominal,0.14653828035134212,0.2265008047223091,0.23829559609293932,0.2540185493230819,0.28289106488227844,2560
4,r0_mlp,heldout_dense,functional,0.23365818333197425,0.39737064838409425,0.41346501410007475,0.43068616449832914,0.4459604322910309,3200
4,r0_mlp,heldout_dense,nominal,0.2028729735914385,0.27982273399829866,0.28617869317531586,0.29600047856569284,0.30466923117637634,3200
4,r0_mlp,trained,functional,0.2376954031224759,0.4014199912548065,0.41524210572242737,0.4307625046372413,0.44791215658187866,2560
4,r0_mlp,trained,nominal,0.2059334257774026,0.27970055639743807,0.28607921600341796,0.29427790254354474,0.308834046125412,2560
4,r1_linear,heldout_dense,functional,0.10242342724886701,0.17593894004821775,0.1956768706440925,0.23185190871357877,0.27570000290870667,3200
4,r1_linear,heldout_dense,nominal,0.1210827225795947,0.1654467687010765,0.17783699482679366,0.1931983356177807,0.20807768404483795,3200
4,r1_linear,trained,functional,0.10504675556967857,0.1777625173330307,0.19943602085113527,0.2372042427957057,0.27324530482292175,2560
4,r1_linear,trained,nominal,0.12331039905475336,0.16755700260400772,0.1791080273687838,0.19404650256037706,0.2042425572872162,2560
4,r2_prototype_energy,heldout_dense,functional,1.0337963785288766,1.6831770062446594,1.8961657404899597,2.139149420261383,2.730120897293091,3200
4,r2_prototype_energy,heldout_dense,nominal,0.8808139310288243,1.2253607273101808,1.3120539188385008,1.5846018052101105,2.078477144241333,3200
4,r2_prototype_energy,trained,functional,1.0195108216300592,1.6552921772003173,1.8746373057365406,2.202383835315703,2.7426726818084717,2560
4,r2_prototype_energy,trained,nominal,0.8745034713130735,1.2309593677520752,1.3303584694862365,1.5921384453773497,2.152829647064209,2560
4,r3_hybrid_energy,heldout_dense,functional,1.07483517334083,1.7760775446891786,2.003887498378752,2.368504638671873,3.138392925262451,3200
4,r3_hybrid_energy,heldout_dense,nominal,0.9852574813220417,1.4434751391410827,1.5740053951740258,1.7905473268032073,2.368596315383911,3200
4,r3_hybrid_energy,trained,functional,1.0528585834542024,1.7617419004440305,2.0021433234214783,2.3486965608596755,3.0022647380828857,2560
4,r3_hybrid_energy,trained,nominal,0.971792793997156,1.4255643844604489,1.5601372420787807,1.8066309750080096,2.2383711338043213,2560
4,r4_smooth_residual,heldout_dense,functional,0.14682311327696043,0.28170486390590666,0.30775118768215176,0.33788012713193893,0.360192209482193,3200
4,r4_smooth_residual,heldout_dense,nominal,0.14548875229433178,0.21635475158691406,0.23308052942156784,0.2517025953531265,0.2657034397125244,3200
4,r4_smooth_residual,trained,functional,0.14415819746538458,0.27718678712844846,0.30113346427679044,0.3335775405168533,0.3590494990348816,2560
4,r4_smooth_residual,trained,nominal,0.14367710796796018,0.21453318893909454,0.2294262304902076,0.25007389873266217,0.26222068071365356,2560
4,r5_smooth_residual_continuity,heldout_dense,functional,0.16855337856217503,0.26144813001155853,0.26980720758438104,0.2817997390031814,0.2995437979698181,3200
4,r5_smooth_residual_continuity,heldout_dense,nominal,0.16203306126815734,0.20547577738761902,0.21377716362476348,0.22605585724115365,0.2395637482404709,3200
4,r5_smooth_residual_continuity,trained,functional,0.16835957528896645,0.262226465344429,0.2706364691257477,0.2808348274230957,0.2958965301513672,2560
4,r5_smooth_residual_continuity,trained,nominal,0.16297775761195227,0.20675279945135117,0.21690961644053455,0.22684861212968827,0.23848511278629303,2560
