model_seed,angle,row,column,value
1,-15.0,1,2,-0.026658880608396853
1,-15.0,1,3,-0.06966819083934549
1,-15.0,2,0,0.10322966375128442
1,-15.0,2,1,-0.026658880608396853
1,-15.0,2,2,0.2434161337426441
1,-15.0,2,3,-0.032255239196173485
1,-15.0,3,0,0.09039346135408119
1,-15.0,3,1,-0.06966819083934549
1,-15.0,3,2,-0.032255239196173485
1,-15.0,3,3,0.2066591724040403
1,0.0,0,0,0.18526760588612187
1,0.0,0,1,0.00815594791811324
1,0.0,0,2,0.11330250217474781
1,0.0,0,3,0.09892324033109483
1,0.0,1,0,0.00815594791811324
1,0.0,1,1,0.15647091377654096
1,0.0,1,2,-0.0053704716339869835
1,0.0,1,3,-0.06728739685675983
1,0.0,2,0,0.11330250217474781
1,0.0,2,1,-0.0053704716339869835
1,0.0,2,2,0.22950382043819884
1,0.0,2,3,-0.03885398255273016
1,0.0,3,0,0.09892324033109483
1,0.0,3,1,-0.06728739685675983
1,0.0,3,2,-0.03885398255273016
1,0.0,3,3,0.23184026272986963
1,15.0,0,0,0.18982793813525567
1,15.0,0,1,0.022684881978416272
1,15.0,0,2,0.10591929965960871
1,15.0,0,3,0.10970091084117424
1,15.0,1,0,0.022684881978416272
1,15.0,1,1,0.14452318387206006
1,15.0,1,2,0.002057793026810975
1,15.0,1,3,-0.032566956943597895
1,15.0,2,0,0.10591929965960871
1,15.0,2,1,0.002057793026810975
1,15.0,2,2,0.2524784697806048
1,15.0,2,3,-0.0653698898568669
1,15.0,3,0,0.10970091084117424
1,15.0,3,1,-0.032566956943597895
1,15.0,3,2,-0.0653698898568669
1,15.0,3,3,0.2464143166372097
1,30.0,0,0,0.2130185774999176
1,30.0,0,1,0.025994001455097494
1,30.0,0,2,0.13122071317384826
1,30.0,0,3,0.1066333025479519
1,30.0,1,0,0.025994001455097494
1,30.0,1,1,0.13089460996694516
1,30.0,1,2,0.001529335179046461
1,30.0,1,3,-0.017607696003829443
1,30.0,2,0,0.13122071317384826
1,30.0,2,1,0.001529335179046461
1,30.0,2,2,0.30808381256090445
1,30.0,2,3,-0.07255734465370642
1,30.0,3,0,0.1066333025479519
1,30.0,3,1,-0.017607696003829443
1,30.0,3,2,-0.07255734465370642
1,30.0,3,3,0.2349636086063817
1,45.0,0,0,0.23376739500778054
1,45.0,0,1,0.020802050657744032
1,45.0,0,2,0.1716976907931011
1,45.0,0,3,0.09004772787492847
1,45.0,1,0,0.020802050657744032
1,45.0,1,1,0.10915877732069566
1,45.0,1,2,-0.005615111197351797
1,45.0,1,3,-0.018105054793223607
1,45.0,2,0,0.1716976907931011
1,45.0,2,1,-0.005615111197351797
1,45.0,2,2,0.3546879058247193
1,45.0,2,3,-0.05909933911642266
1,45.0,3,0,0.09004772787492847
1,45.0,3,1,-0.018105054793223607
1,45.0,3,2,-0.05909933911642266
1,45.0,3,3,0.19490691463807008
1,60.0,0,0,0.2247142219106627
1,60.0,0,1,0.028350528387849773
1,60.0,0,2,0.16084739031747972
1,60.0,0,3,0.08884922283207075
1,60.0,1,0,0.028350528387849773
1,60.0,1,1,0.10202371313457864
1,60.0,1,2,-0.00631575722925475
1,60.0,1,3,-0.009462494736674378
1,60.0,2,0,0.16084739031747972
