model_seed,method,angle,host,mean_route_mass,host_specialization
2,r1_linear,0.0,3,0.2343607395887375,0.0031207799911499023
2,r1_linear,15.0,0,0.3039410710334778,0.0009521245956420898
2,r1_linear,15.0,1,0.22691424190998077,0.00509035587310791
2,r1_linear,15.0,2,0.2253408432006836,0.0027741193771362305
2,r1_linear,15.0,3,0.24380382895469666,0.0031207799911499023
2,r1_linear,30.0,0,0.3106131851673126,0.0009521245956420898
2,r1_linear,30.0,1,0.2107829600572586,0.00509035587310791
2,r1_linear,30.0,2,0.2117079496383667,0.0027741193771362305
2,r1_linear,30.0,3,0.2668958604335785,0.0031207799911499023
2,r1_linear,45.0,0,0.32021158933639526,0.0009521245956420898
2,r1_linear,45.0,1,0.19011062383651733,0.00509035587310791
2,r1_linear,45.0,2,0.19639931619167328,0.0027741193771362305
2,r1_linear,45.0,3,0.29327845573425293,0.0031207799911499023
2,r1_linear,60.0,0,0.3307691216468811,0.0009521245956420898
2,r1_linear,60.0,1,0.16960933804512024,0.00509035587310791
2,r1_linear,60.0,2,0.18363918364048004,0.0027741193771362305
2,r1_linear,60.0,3,0.3159823715686798,0.0031207799911499023
2,r1_linear,75.0,0,0.3402163088321686,0.0009521245956420898
2,r1_linear,75.0,1,0.1581961065530777,0.00509035587310791
2,r1_linear,75.0,2,0.17849886417388916,0.0027741193771362305
2,r1_linear,75.0,3,0.32308870553970337,0.0031207799911499023
2,r2_prototype_energy,-75.0,0,0.10088254511356354,0.0372467041015625
2,r2_prototype_energy,-75.0,1,0.5517817735671997,0.04999196529388428
2,r2_prototype_energy,-75.0,2,0.23355264961719513,0.04207497835159302
2,r2_prototype_energy,-75.0,3,0.113783098757267,0.021703124046325684
2,r2_prototype_energy,-60.0,0,0.10584060102701187,0.0372467041015625
2,r2_prototype_energy,-60.0,1,0.42410793900489807,0.04999196529388428
2,r2_prototype_energy,-60.0,2,0.31637173891067505,0.04207497835159302
2,r2_prototype_energy,-60.0,3,0.15367969870567322,0.021703124046325684
2,r2_prototype_energy,-45.0,0,0.186849907040596,0.0372467041015625
2,r2_prototype_energy,-45.0,1,0.2584232687950134,0.04999196529388428
2,r2_prototype_energy,-45.0,2,0.36302247643470764,0.04207497835159302
2,r2_prototype_energy,-45.0,3,0.19170436263084412,0.021703124046325684
2,r2_prototype_energy,-30.0,0,0.27987489104270935,0.0372467041015625
2,r2_prototype_energy,-30.0,1,0.1492939442396164,0.04999196529388428
2,r2_prototype_energy,-30.0,2,0.33964452147483826,0.04207497835159302
2,r2_prototype_energy,-30.0,3,0.23118658363819122,0.021703124046325684
2,r2_prototype_energy,-15.0,0,0.35817909240722656,0.0372467041015625
2,r2_prototype_energy,-15.0,1,0.12695035338401794,0.04999196529388428
2,r2_prototype_energy,-15.0,2,0.2517249584197998,0.04207497835159302
2,r2_prototype_energy,-15.0,3,0.2631455957889557,0.021703124046325684
2,r2_prototype_energy,0.0,0,0.4163435995578766,0.0372467041015625
2,r2_prototype_energy,0.0,1,0.13693737983703613,0.04999196529388428
2,r2_prototype_energy,0.0,2,0.1651844084262848,0.04207497835159302
2,r2_prototype_energy,0.0,3,0.2815346121788025,0.021703124046325684
2,r2_prototype_energy,15.0,0,0.4183269441127777,0.0372467041015625
2,r2_prototype_energy,15.0,1,0.17630720138549805,0.04999196529388428
2,r2_prototype_energy,15.0,2,0.12426666170358658,0.04207497835159302
2,r2_prototype_energy,15.0,3,0.2810991704463959,0.021703124046325684
2,r2_prototype_energy,30.0,0,0.40102607011795044,0.0372467041015625
2,r2_prototype_energy,30.0,1,0.27734559774398804,0.04999196529388428
2,r2_prototype_energy,30.0,2,0.09671665728092194,0.04207497835159302
2,r2_prototype_energy,30.0,3,0.22491168975830078,0.021703124046325684
2,r2_prototype_energy,45.0,0,0.3448595404624939,0.0372467041015625
2,r2_prototype_energy,45.0,1,0.39486441016197205,0.04999196529388428
2,r2_prototype_energy,45.0,2,0.09655608236789703,0.04207497835159302
2,r2_prototype_energy,45.0,3,0.16371995210647583,0.021703124046325684
2,r2_prototype_energy,60.0,0,0.2708163261413574,0.0372467041015625
2,r2_prototype_energy,60.0,1,0.4721721112728119,0.04999196529388428
2,r2_prototype_energy,60.0,2,0.12545786798000336,0.04207497835159302
2,r2_prototype_energy,60.0,3,0.13155367970466614,0.021703124046325684
2,r2_prototype_energy,75.0,0,0.20212864875793457,0.0372467041015625
2,r2_prototype_energy,75.0,1,0.5052657723426819,0.04999196529388428
2,r2_prototype_energy,75.0,2,0.1842540204524994,0.04207497835159302
2,r2_prototype_energy,75.0,3,0.10835156589746475,0.021703124046325684
