model_seed,contrast,partition,geometry,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
1,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,0.0591033396061861,0.037792349602621095,0.0810857619904552,640
1,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.035335896737620796,-0.04453067514647229,-0.02588248102236896,640
1,r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,-0.005303635652678607,-0.025953053041225593,0.015288425001984062,640
1,r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,0.028178128794087952,0.01988218232143921,0.03610459921510602,640
1,r3_hybrid_energy_vs_r1_linear,trained,functional,rho,0.01620886401717507,-0.004919271046388974,0.03691141708126853,640
1,r3_hybrid_energy_vs_r1_linear,trained,functional,stress,0.00867539491331608,-0.0003060769235616263,0.017477191269038645,640
1,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,-0.026206034635721902,-0.0440729079199391,-0.008402558400326554,640
1,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,0.02706114868847569,0.019430030210794622,0.03463011023663565,640
1,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,-0.0210074766323304,-0.03937388984442338,-0.001807176101927334,640
1,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,0.013726364874096448,0.004714984725368391,0.02252367262249589,640
1,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,-0.015603017996925265,-0.02820784308626185,-0.004238935761354371,640
1,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,0.011958221529484258,0.007199310133410866,0.01663533320873673,640
1,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,0.013060451092270354,-0.0009038030793890526,0.02725438049701626,640
1,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.010883725015756667,0.005253280950732813,0.01677117463936735,640
1,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,-0.006114933527270935,-0.015198433865624883,0.003521489935750835,640
1,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,0.010594399254547866,0.006928310907844313,0.014101765976853343,640
1,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,0.009160873554756978,-0.002851498397065398,0.022183275761672876,640
1,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,0.011872367963335304,0.007133266581799204,0.016632627794560154,640
2,r1_linear_vs_r0_mlp,trained,nominal,rho,0.06863937452371134,0.04763265696174654,0.0880900113443214,640
2,r1_linear_vs_r0_mlp,trained,nominal,stress,-0.049681269625405464,-0.057829533825997564,-0.041371163727228544,640
2,r1_linear_vs_r0_mlp,trained,functional,rho,0.09717372888727994,0.07359514530984487,0.11984304683924174,640
2,r1_linear_vs_r0_mlp,trained,functional,stress,-0.053040290988749426,-0.06339796980450128,-0.042797659831163654,640
2,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.03951076983619782,0.02223990085300693,0.05594767945897767,640
2,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.03721054309074912,-0.04335019169304333,-0.030848426137338944,640
2,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.058034234828326745,0.04097509757978064,0.07485145470193676,640
2,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,-0.03769027401342802,-0.04522119697947413,-0.030151260228220286,640
2,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.083418044657018,0.06614621883136368,0.10053468451437066,640
2,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.043784811346355375,-0.05124352038826475,-0.03652912341510219,640
2,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.05074208717141386,0.03189034403967367,0.07009936411349364,640
2,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.05325651018143729,-0.0620411821615346,-0.04441873732192229,640
2,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.0477725579712995,0.03412490237037814,0.06083098122868236,640
2,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.029587990660475526,-0.03505688213421345,-0.024160915720162515,640
2,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.02680254323145474,0.011531635012290336,0.041449999109137006,640
2,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.0391871509391273,-0.04559976912020821,-0.032499964016926015,640
2,r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,0.055996063314235935,0.04031334180399091,0.07257960833327856,640
2,r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,-0.015313919507603654,-0.022081654744469874,-0.00849464234163204,640
2,r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,0.05201337062374132,0.03306106698454162,0.07244378957382096,640
2,r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.024672877409930155,-0.032980777120642894,-0.01645400315153541,640
2,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.01838226247429844,0.005687939995035601,0.03059051689856013,640
2,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.007227892464704469,-0.012612422868232637,-0.0018548269832884875,640
2,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,0.01902199633059163,0.0027228312047974206,0.034169208262452455,640
2,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.015620767308198303,-0.022193860624809904,-0.009137577069934271,640
2,r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,-0.012643311209475405,-0.0287843899956963,0.003526818390011552,640
2,r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,0.0343673501178018,0.028208842556907563,0.04022354802334074,640
2,r3_hybrid_energy_vs_r1_linear,trained,functional,rho,-0.045160358263538626,-0.06268470269681349,-0.02646752556333937,640
2,r3_hybrid_energy_vs_r1_linear,trained,functional,stress,0.02836741357881927,0.019509077441716996,0.03600522658066729,640
2,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,-0.021128507361899387,-0.03458481914274027,-0.007603899669373149,640
2,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,0.02998265062604466,0.024946190903287334,0.03486084094869489,640
2,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,-0.03901223849773512,-0.05419669619577882,-0.024779961247735016,640
2,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,0.02206950670522971,0.015642378265396013,0.0282611361880547,640
2,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,-0.027421981342782085,-0.040016129637499516,-0.014201626628773677,640
2,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,stress,0.028470891838751722,0.02231178049399429,0.0346267447868787,640
2,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,rho,0.001271283452327457,-0.015146895398892933,0.018453970457789296,640
2,r3_hybrid_energy_vs_r2_prototype_energy,trained,functional,stress,0.028583632771507127,0.02068842786620306,0.036730261139301015,640
2,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,rho,-0.02939029549700107,-0.03983092493274815,-0.019036837003384034,640
2,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,nominal,stress,0.022360098195771054,0.017912733461603225,0.02681908979356608,640
2,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,rho,-0.00778054690086311,-0.022107559513591325,0.0063688098909620615,640
2,r3_hybrid_energy_vs_r2_prototype_energy,heldout_dense,functional,stress,0.023566383630929,0.017292626475653525,0.029723907658237066,640
3,r1_linear_vs_r0_mlp,trained,nominal,rho,-0.003138481022933412,-0.024095042479943107,0.017791016001204453,640
3,r1_linear_vs_r0_mlp,trained,nominal,stress,0.006268770982614441,-0.002600317119367065,0.0156604696815607,640
3,r1_linear_vs_r0_mlp,trained,functional,rho,-0.015742064624523582,-0.03659012005249674,0.005095065711281137,640
3,r1_linear_vs_r0_mlp,trained,functional,stress,0.017757689645628322,0.008206850431165974,0.027401863393408683,640
3,r1_linear_vs_r0_mlp,heldout_dense,nominal,rho,0.022704788530333506,0.005273337704160905,0.04026418612776473,640
3,r1_linear_vs_r0_mlp,heldout_dense,nominal,stress,-0.010362974504285938,-0.017298733094910437,-0.0030933476410606015,640
3,r1_linear_vs_r0_mlp,heldout_dense,functional,rho,0.01259872261132353,-0.00443253434416116,0.029162498373848003,640
3,r1_linear_vs_r0_mlp,heldout_dense,functional,stress,0.0003809334217994446,-0.007017140574036764,0.008024742211777992,640
3,r2_prototype_energy_vs_r0_mlp,trained,nominal,rho,0.0798922194572036,0.059757771185868926,0.099161350769288,640
3,r2_prototype_energy_vs_r0_mlp,trained,nominal,stress,-0.04098972264237375,-0.04900064288790206,-0.032693640397024465,640
3,r2_prototype_energy_vs_r0_mlp,trained,functional,rho,0.04796115461944757,0.027877110750617287,0.06817381661880627,640
3,r2_prototype_energy_vs_r0_mlp,trained,functional,stress,-0.042887104707920266,-0.05172379246489366,-0.03426035730115021,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.0643278327659138,0.04738036077381526,0.08152932520590533,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.053562349894718905,-0.05973593215197923,-0.04718114235773928,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,rho,0.04026865273802264,0.024609077384319753,0.056625235418261165,640
3,r2_prototype_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.05798151606453918,-0.06432883228386727,-0.05160735434092472,640
3,r3_hybrid_energy_vs_r0_mlp,trained,nominal,rho,0.08600033916955815,0.06298787400448766,0.10826542871128768,640
3,r3_hybrid_energy_vs_r0_mlp,trained,nominal,stress,-0.03786369514456411,-0.046930568465613005,-0.028598296144272645,640
3,r3_hybrid_energy_vs_r0_mlp,trained,functional,rho,0.03390751333004638,0.009523949097836769,0.0572221566125939,640
3,r3_hybrid_energy_vs_r0_mlp,trained,functional,stress,-0.03552632635518808,-0.045498977623125235,-0.025578896302414,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,rho,0.06576867478459215,0.047843015146012885,0.08444515719910473,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,nominal,stress,-0.0550308627067585,-0.06195620489755429,-0.04768107627591678,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,rho,0.03182531850856749,0.013428287403577594,0.051334535567775195,640
3,r3_hybrid_energy_vs_r0_mlp,heldout_dense,functional,stress,-0.0580085859247995,-0.06581083472155493,-0.05031698662064294,640
3,r3_hybrid_energy_vs_r1_linear,trained,nominal,rho,0.08913882019249157,0.0677829962762353,0.111647986225166,640
3,r3_hybrid_energy_vs_r1_linear,trained,nominal,stress,-0.044132466127178555,-0.0532451081454665,-0.03524326873302901,640
3,r3_hybrid_energy_vs_r1_linear,trained,functional,rho,0.049649577954569965,0.02645958004176232,0.07394052720089708,640
3,r3_hybrid_energy_vs_r1_linear,trained,functional,stress,-0.05328401600081639,-0.06361685834176113,-0.043371398668652396,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,rho,0.04306388625425865,0.024050967228384693,0.06218587702094656,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,nominal,stress,-0.04466788820247257,-0.05207774110805348,-0.03704437100355051,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,rho,0.01922659589724396,-0.0008829479890460957,0.038628902478665725,640
3,r3_hybrid_energy_vs_r1_linear,heldout_dense,functional,stress,-0.05838951934659896,-0.06687197145269931,-0.049708380863116394,640
3,r3_hybrid_energy_vs_r2_prototype_energy,trained,nominal,rho,0.006108119712354577,-0.0010728937104505728,0.013597270393819562,640
