model_seed,stage,current_angle,seen_angles,wall_seconds,forward_images,optimizer_steps,loss,current_ce,anchor_ce,route_geo,context_geo,context_spread,fiber,centroid,host_diversity
2,0,-60.0,[-60.0],1.3108164429995668,1024,16,1.947095662355423,1.9044951051473618,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8495110683143139
2,1,-30.0,"[-60.0, -30.0]",1.634254962000341,2048,16,1.5397205278277397,1.3412109091877937,1.2136708721518517,0.1188340550288558,0.029194870847277343,0.00015080858565852395,0.5210066586732864,0.012672376593400259,0.7129624262452126
2,2,0.0,"[-60.0, -30.0, 0.0]",2.2283879259994137,3072,16,0.700000949203968,0.5038357488811016,1.1804726421833038,0.20282090362161398,0.04489377071149647,1.4217901815882783e-05,0.4760640971362591,0.019051062859944068,0.5717995557934046
2,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",3.391240167999058,4096,16,2.05204014480114,1.8358505442738533,1.1888744793832302,0.36272923089563847,0.1138483565300703,7.844577498104799e-07,0.4719220530241728,0.1457324679940939,0.3752317223697901
2,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5.376537242000268,5120,16,0.902299165725708,0.6928039211779833,1.2419192790985107,0.2993121109902859,0.07140571461059153,0.0,0.5321044810116291,0.06148658273741603,0.3710397854447365
3,0,-60.0,[-60.0],1.0279538450013206,1024,16,1.93125419318676,1.8885361105203629,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8518618531525135
3,1,-30.0,"[-60.0, -30.0]",1.6591458170005353,2048,16,1.5041144490242004,1.303204108029604,1.222976803779602,0.11352329840883613,0.03561043168883771,0.00016137384523062792,0.5570544730871916,0.015584335917992576,0.7011856399476528
3,2,0.0,"[-60.0, -30.0, 0.0]",2.4073292590001074,3072,16,0.6588918585330248,0.4661181913688779,1.182922426611185,0.1819728333503008,0.041285997023805976,1.0304579129982727e-05,0.5085904225707054,0.015085913975781295,0.5194240286946297
3,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",3.3696199239984708,4096,16,1.9793449118733406,1.7711356207728386,1.2790776640176773,0.25543148536235094,0.09215586120262742,6.457858034991659e-07,0.529900262132287,0.09696160990279168,0.2839940916746855
3,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",5.804974595999738,5120,16,0.9016415923833847,0.7023260463029146,1.2517721429467201,0.22530884761363268,0.07110582338646054,0.0,0.5556021053344011,0.07502247369848192,0.2593129314482212
4,0,-60.0,[-60.0],1.0134485170019616,1024,16,1.8844543397426605,1.841995544731617,0.0,0.0,0.0,0.002500000176951289,0.0,0.0,0.8466754965484142
4,1,-30.0,"[-60.0, -30.0]",1.658571898999071,2048,16,1.5733205527067184,1.3762545697391033,1.1878099963068962,0.12663606088608503,0.04095319740008563,0.000171660228716064,0.5041259415447712,0.005447497329811313,0.7207750156521797
4,2,0.0,"[-60.0, -30.0, 0.0]",2.9134846339984506,3072,16,0.7092668786644936,0.511904938146472,1.1592403873801231,0.2413955256342888,0.04861066001467407,2.4153145290028988e-05,0.45447569712996483,0.020683884766185656,0.5735614523291588
4,3,60.0,"[-60.0, -30.0, 0.0, 60.0]",4.619403144999524,4096,16,2.1761028692126274,1.9411439970135689,1.2091854326426983,0.43152554146945477,0.16377543797716498,9.244485186077345e-06,0.4695909135043621,0.2319379122927785,0.3886672016233206
4,4,30.0,"[-60.0, -30.0, 0.0, 60.0, 30.0]",4.1722977310018905,5120,16,0.9243446514010429,0.7014490962028503,1.3020000085234642,0.31394029036164284,0.09928690921515226,5.3136723323632395e-06,0.5687614642083645,0.08600807655602694,0.3726819735020399
