model_seed,method,source_index,scale,signed_route_effect,orthogonal_abs_effect,class_log_prob_drop,prediction_preserved
0,d4_no_geo,7999,-0.5,-0.005828253459185362,0.04664164409041405,-0.0012156367301940918,1
0,d4_no_geo,5860,-0.5,-0.03932513669133186,0.06252314895391464,0.001617439091205597,1
0,d4_no_geo,7627,-0.5,0.02802375704050064,0.03852856159210205,0.0026228725910186768,1
0,d4_no_geo,8165,-0.5,0.003177160397171974,0.055122554302215576,0.0505220890045166,1
0,d4_no_geo,4504,-0.5,-0.005794764496386051,0.054956793785095215,-0.009119987487792969,1
0,d4_no_geo,9523,-0.5,-0.0044539147056639194,0.0178256556391716,0.001990780234336853,1
0,d4_no_geo,3274,-0.5,0.029630932956933975,0.0267353318631649,0.005613058805465698,1
0,d4_no_geo,2076,-0.5,-0.013762439601123333,0.0661197081208229,-0.004291437566280365,1
0,d4_no_geo,6614,-0.5,0.011831707321107388,0.047838009893894196,-0.005184978246688843,1
0,d4_no_geo,1215,-0.5,-0.010453949682414532,0.06135018542408943,-0.0004139542579650879,1
0,d4_no_geo,4549,-0.5,0.03001556731760502,0.02205057255923748,-0.001267760992050171,1
0,d4_no_geo,374,-0.5,-0.00728361401706934,0.053960010409355164,-0.0011889934539794922,1
0,d4_no_geo,3504,-0.5,-0.004460963886231184,0.04644718021154404,-0.001335054636001587,1
0,d4_no_geo,7608,-0.5,0.0002489350736141205,0.05203474313020706,0.2738710641860962,1
0,d4_no_geo,5507,-0.5,0.019019801169633865,0.037941765040159225,0.00874793529510498,1
0,d4_no_geo,5537,-0.5,-0.0070546455681324005,0.05190015956759453,-0.0017268061637878418,1
0,d4_no_geo,1194,-0.5,-0.00660438509657979,0.05466964468359947,0.0011347532272338867,1
0,d4_no_geo,479,-0.5,-0.03230632469058037,0.023605594411492348,-0.039945125579833984,1
0,d4_no_geo,8491,-0.5,0.02846420928835869,0.015183217823505402,0.020798325538635254,1
0,d4_no_geo,4284,-0.5,-0.03130520135164261,0.037522248923778534,-0.07502985000610352,1
0,d4_no_geo,1588,-0.5,-0.02570224180817604,0.06765797734260559,-0.001341693103313446,1
0,d4_no_geo,4499,-0.5,-0.018033809959888458,0.011723737232387066,-0.001456141471862793,1
0,d4_no_geo,6639,-0.5,-0.01299289334565401,0.01599166914820671,-0.002477511763572693,1
0,d4_no_geo,2073,-0.5,-0.02189343422651291,0.017035581171512604,-0.005286097526550293,1
