model_seed,method,source_index,scale,nominal_tangent_change,nominal_orthogonal_change,functional_tangent_change,functional_orthogonal_change,tangent_jacobian_sensitivity,orthogonal_jacobian_sensitivity,prediction_preserved,true_class_log_prob_change
1,r1_linear,8452,-0.25,0.021567774936556816,0.016395630314946175,0.0017785865347832441,0.0007085578981786966,0.1235693097114563,0.09344074875116348,1,0.0017479658126831055
1,r1_linear,5933,-0.25,0.01741417497396469,0.013301925733685493,0.0003274546470493078,2.807790951919742e-05,0.09130886942148209,0.07924500107765198,1,0.006241917610168457
1,r1_linear,7575,-0.25,0.016942843794822693,0.0188886895775795,0.0002867406001314521,0.0016534968744963408,0.10129348933696747,0.10843298584222794,1,-0.0025970935821533203
1,r1_linear,459,-0.25,0.012577744200825691,0.01251460425555706,1.113790312956553e-05,2.938211036962457e-05,0.06127842515707016,0.0707780048251152,1,-0.0004508867859840393
1,r1_linear,3316,0.0,0.0,0.0,7.867610563039307e-09,7.867611451217726e-09,0.12333047389984131,0.09762626141309738,1,0.0
1,r1_linear,354,0.0,0.0,0.0,8.493151959498846e-09,8.493151959498846e-09,0.09126374870538712,0.09518745541572571,1,0.0
1,r1_linear,1021,0.0,0.0,0.0,8.629511327740147e-09,8.629512215918567e-09,0.10632668435573578,0.09397855401039124,1,0.0
1,r1_linear,9593,0.0,0.0,0.0,8.573695531310932e-09,8.573695531310932e-09,0.11445292085409164,0.10092927515506744,1,0.0
1,r1_linear,8963,0.0,2.107342389479072e-08,2.1073422118433882e-08,8.430222742106253e-09,8.430222742106253e-09,0.09395530819892883,0.09941935539245605,1,0.0
1,r1_linear,2629,0.0,0.0,0.0,8.316121125062637e-09,8.316121125062637e-09,0.10037518292665482,0.08319193869829178,1,0.0
1,r1_linear,1781,0.0,7.598131190889035e-08,7.598131190889035e-08,7.776118415847577e-09,7.776118415847577e-09,0.11718382686376572,0.08760758489370346,1,5.960464477539063e-08
1,r1_linear,3977,0.0,0.0,0.0,8.297730502704326e-09,8.297731390882745e-09,0.08957930654287338,0.07507580518722534,1,0.0
