method,angle,host,route_mass_mean,ablation_mean,ablation_median,positive_fraction,count
context_bottleneck_geo,60.0,1,0.5993646251154132,0.27728497060161317,0.04009857773780823,0.53515625,256
context_bottleneck_geo,60.0,2,0.08425057852946338,0.008442456266493537,-0.005356281995773315,0.41015625,256
context_bottleneck_geo,60.0,3,0.2806342056719586,0.06365639460273087,0.007796823978424072,0.5078125,256
sensory_bottleneck_no_geo,-60.0,0,0.014145288673717005,0.004815009044250473,0.0030497312545776367,0.6015625,256
sensory_bottleneck_no_geo,-60.0,1,0.35335164612479275,-0.0031373116216855124,0.012051314115524292,0.5234375,256
sensory_bottleneck_no_geo,-60.0,2,0.021544260337577725,0.009022040467243642,0.006524085998535156,0.55078125,256
sensory_bottleneck_no_geo,-60.0,3,0.6109588015824556,0.12289800762664527,0.016614258289337158,0.51171875,256
sensory_bottleneck_no_geo,-45.0,0,0.013570263584824716,0.0017159486887976527,0.0016970038414001465,0.6171875,256
sensory_bottleneck_no_geo,-45.0,1,0.2927684199967189,0.011900646859430708,0.0203254297375679,0.5546875,256
sensory_bottleneck_no_geo,-45.0,2,0.02022714828581229,0.003594678404624574,0.0006706118583679199,0.51171875,256
sensory_bottleneck_no_geo,-45.0,3,0.6734341692645103,0.17657250753836706,0.04985243082046509,0.52734375,256
sensory_bottleneck_no_geo,-30.0,0,0.014554183444488444,7.180788088589907e-06,0.0007615983486175537,0.578125,256
sensory_bottleneck_no_geo,-30.0,1,0.25972374674893217,-0.01983424575882964,0.002095598727464676,0.52734375,256
sensory_bottleneck_no_geo,-30.0,2,0.023001966369520233,-0.0029575969820143655,-0.0001749768853187561,0.49609375,256
sensory_bottleneck_no_geo,-30.0,3,0.7027201048331335,0.28719400163390674,0.15716124325990677,0.64453125,256
sensory_bottleneck_no_geo,-15.0,0,0.015133487218918162,-0.00043903068581130356,5.511753261089325e-05,0.5234375,256
sensory_bottleneck_no_geo,-15.0,1,0.2516188442459679,-0.02758595024351962,-0.000623013824224472,0.49609375,256
sensory_bottleneck_no_geo,-15.0,2,0.026356379437856958,-0.008503030447172932,-0.00044863857328891754,0.46875,256
sensory_bottleneck_no_geo,-15.0,3,0.7068912897957489,0.4609475451434264,0.27863162755966187,0.8203125,256
sensory_bottleneck_no_geo,0.0,0,0.015742861507078487,-0.0002519800254958682,-2.051517367362976e-05,0.49609375,256
sensory_bottleneck_no_geo,0.0,1,0.26149458769214107,-0.02158088760188548,-0.0006988011300563812,0.46875,256
sensory_bottleneck_no_geo,0.0,2,0.028429630473965517,-0.00954322368488647,-0.0002576969563961029,0.49609375,256
sensory_bottleneck_no_geo,0.0,3,0.6943329164059833,0.5317431893199682,0.28608739376068115,0.875,256
sensory_bottleneck_no_geo,15.0,0,0.013402583177594352,0.00027083936583949253,-1.679360866546631e-05,0.4921875,256
sensory_bottleneck_no_geo,15.0,1,0.26484252882073633,-0.0029112170304870233,-0.001186072826385498,0.44921875,256
sensory_bottleneck_no_geo,15.0,2,0.024371304244596104,-0.002273154001159128,-0.00012336298823356628,0.49609375,256
sensory_bottleneck_no_geo,15.0,3,0.6973835845128633,0.5470208853948861,0.2878195643424988,0.84765625,256
sensory_bottleneck_no_geo,30.0,0,0.011990738109943777,0.0014408653951250017,-0.00037537887692451477,0.4609375,256
sensory_bottleneck_no_geo,30.0,1,0.28258322560577653,0.024026739425607957,0.0028866231441497803,0.5234375,256
sensory_bottleneck_no_geo,30.0,2,0.022605060432397295,0.010875451742322184,0.00032444484531879425,0.51953125,256
sensory_bottleneck_no_geo,30.0,3,0.6828209738014266,0.46508751799410675,0.19474972039461136,0.75,256
sensory_bottleneck_no_geo,45.0,0,0.011741160469682654,0.003192267380654812,-8.90493392944336e-05,0.484375,256
sensory_bottleneck_no_geo,45.0,1,0.31246958216797793,0.047146329015959054,0.0015605166554450989,0.515625,256
sensory_bottleneck_no_geo,45.0,2,0.02468313763529295,0.018526782441767864,0.0013044774532318115,0.546875,256
sensory_bottleneck_no_geo,45.0,3,0.6511061178753152,0.4086607752542477,0.15003670752048492,0.67578125,256
sensory_bottleneck_no_geo,60.0,0,0.015607651765094488,0.004080284619703889,0.00038501620292663574,0.5234375,256
sensory_bottleneck_no_geo,60.0,1,0.3582063724825275,0.02515087282517925,-0.003213154152035713,0.48828125,256
sensory_bottleneck_no_geo,60.0,2,0.03240631515018322,0.026570534668280743,-0.0006999410688877106,0.48046875,256
sensory_bottleneck_no_geo,60.0,3,0.5937796636717394,0.4002375647542067,0.1072375476360321,0.6328125,256
sensory_bottleneck_geo,-60.0,0,0.028295991527556907,0.005243851002887823,0.008078038692474365,0.625,256
sensory_bottleneck_geo,-60.0,1,0.4431314299290534,0.03766875347355381,0.03732000291347504,0.5390625,256
sensory_bottleneck_geo,-60.0,2,0.047049696164322086,0.00040698726661503315,0.007253915071487427,0.53515625,256
sensory_bottleneck_geo,-60.0,3,0.48152288736309856,0.07026251778006554,-0.01537257432937622,0.48046875,256
sensory_bottleneck_geo,-45.0,0,0.028042193489454803,0.0011803545348811895,0.004728231579065323,0.625,256
sensory_bottleneck_geo,-45.0,1,0.37753056349174585,0.06939652688743081,0.052751779556274414,0.59375,256
sensory_bottleneck_geo,-45.0,2,0.04515002908374299,-0.002834470331436023,0.0017631016671657562,0.515625,256
sensory_bottleneck_geo,-45.0,3,0.5492772154393606,0.1254343145992607,0.006441216915845871,0.50390625,256
sensory_bottleneck_geo,-30.0,0,0.02906240707852703,-5.139352288097143e-05,0.0019316598773002625,0.578125,256
