method,angle,source_index,host,route_mass,ablation_impact
context_bottleneck_no_geo,-45.0,9484,0,0.012203383259475231,0.0067337751388549805
context_bottleneck_no_geo,-45.0,8365,0,0.05688979849219322,0.04776144027709961
context_bottleneck_no_geo,-45.0,2158,0,0.03433026373386383,0.017493128776550293
context_bottleneck_no_geo,-45.0,3761,0,0.0024873903021216393,0.0011639595031738281
context_bottleneck_no_geo,-45.0,4111,0,0.09652481228113174,-0.04565536975860596
context_bottleneck_no_geo,-45.0,5075,0,0.024345869198441505,0.015728473663330078
context_bottleneck_no_geo,-45.0,9562,0,0.010558662004768848,0.0016884803771972656
context_bottleneck_no_geo,-45.0,9497,0,0.0105928685516119,0.0023012757301330566
context_bottleneck_no_geo,-45.0,2116,0,0.12914642691612244,0.1962580680847168
context_bottleneck_no_geo,-45.0,1705,0,0.007052616216242313,0.01132291555404663
context_bottleneck_no_geo,-45.0,6238,0,0.07679668068885803,-0.04707622528076172
context_bottleneck_no_geo,-45.0,4517,0,0.09754171222448349,0.018135040998458862
context_bottleneck_no_geo,-45.0,9898,0,0.008948848582804203,0.007550835609436035
context_bottleneck_no_geo,-45.0,3096,0,0.016201438382267952,0.0035157203674316406
context_bottleneck_no_geo,-45.0,385,0,0.0032040264923125505,0.0005736351013183594
context_bottleneck_no_geo,-45.0,4943,0,0.009685298427939415,0.012440800666809082
context_bottleneck_no_geo,-45.0,5644,0,0.0672868862748146,0.011870265007019043
context_bottleneck_no_geo,-45.0,582,0,0.017792098224163055,-0.007136702537536621
context_bottleneck_no_geo,-45.0,1731,0,0.03452102467417717,-0.008058309555053711
context_bottleneck_no_geo,-45.0,7999,0,0.054412033408880234,-0.031047821044921875
context_bottleneck_no_geo,-45.0,5860,0,0.02032330445945263,0.0020189136266708374
context_bottleneck_no_geo,-45.0,7627,0,0.07988400757312775,-0.057187795639038086
context_bottleneck_no_geo,-45.0,8165,0,0.010165717452764511,0.01026010513305664
context_bottleneck_no_geo,-45.0,4504,0,0.041050348430871964,-0.004584074020385742
context_bottleneck_no_geo,-45.0,9523,0,0.06946233659982681,-0.01903986930847168
context_bottleneck_no_geo,-45.0,3274,0,0.031260836869478226,0.0709996223449707
context_bottleneck_no_geo,-45.0,2076,0,0.004027701914310455,0.00025940313935279846
context_bottleneck_no_geo,-45.0,6614,0,0.020291918888688087,-0.000986933708190918
context_bottleneck_no_geo,-45.0,1215,0,0.007516196928918362,0.0010649561882019043
context_bottleneck_no_geo,-45.0,4549,0,0.014256056398153305,0.022632837295532227
context_bottleneck_no_geo,-45.0,374,0,0.10419611632823944,-0.07298636436462402
context_bottleneck_no_geo,-45.0,3504,0,0.010655146092176437,-0.0036846399307250977
context_bottleneck_no_geo,-45.0,7608,0,0.002414064249023795,-1.1414289474487305e-05
context_bottleneck_no_geo,-45.0,5507,0,0.011699381284415722,0.008672714233398438
context_bottleneck_no_geo,-45.0,5537,0,0.06588143855333328,-0.04469859600067139
context_bottleneck_no_geo,-45.0,1194,0,0.01958554983139038,0.030401766300201416
context_bottleneck_no_geo,-45.0,479,0,0.03467901796102524,0.02549457550048828
context_bottleneck_no_geo,-45.0,8491,0,0.0023491797037422657,0.0014195442199707031
context_bottleneck_no_geo,-45.0,4284,0,0.013845398090779781,-0.009964942932128906
context_bottleneck_no_geo,-45.0,1588,0,0.004373682197183371,0.001130625605583191
context_bottleneck_no_geo,-45.0,4499,0,0.03308490663766861,0.035292625427246094
context_bottleneck_no_geo,-45.0,6639,0,0.04111447557806969,0.04950213432312012
context_bottleneck_no_geo,-45.0,2073,0,0.04435503110289574,-0.02024388313293457
context_bottleneck_no_geo,-45.0,1751,0,0.02620658464729786,-0.021636486053466797
context_bottleneck_no_geo,-45.0,1828,0,0.018097316846251488,0.00193709135055542
context_bottleneck_no_geo,-45.0,5372,0,0.012727546505630016,0.019180238246917725
context_bottleneck_no_geo,-45.0,3968,0,0.006778736133128405,0.0027353763580322266
context_bottleneck_no_geo,-45.0,5105,0,0.07757124304771423,-0.021448850631713867
context_bottleneck_no_geo,-45.0,8811,0,0.0203606765717268,0.001850023865699768
context_bottleneck_no_geo,-45.0,2154,0,0.007215447723865509,0.00757443904876709
context_bottleneck_no_geo,-45.0,8720,0,0.008748195134103298,0.008926153182983398
context_bottleneck_no_geo,-45.0,9911,0,0.03384929150342941,-0.07329916954040527
context_bottleneck_no_geo,-45.0,6124,0,0.09271280467510223,-0.09148883819580078
context_bottleneck_no_geo,-45.0,293,0,0.04072548821568489,0.099212646484375
context_bottleneck_no_geo,-45.0,3444,0,0.012820165604352951,-0.0033529996871948242
context_bottleneck_no_geo,-45.0,8353,0,0.018844803795218468,0.030126571655273438
context_bottleneck_no_geo,-45.0,9351,0,0.03530403971672058,0.07018232345581055
context_bottleneck_no_geo,-45.0,9087,0,0.003556358627974987,0.010078907012939453
context_bottleneck_no_geo,-45.0,9464,0,0.004653811454772949,0.005273103713989258
context_bottleneck_no_geo,-45.0,5668,0,0.06384113430976868,-0.03484082221984863
context_bottleneck_no_geo,-45.0,8284,0,0.0031838698778301477,0.008403301239013672
context_bottleneck_no_geo,-45.0,2604,0,0.02505289763212204,-0.004172325134277344
context_bottleneck_no_geo,-45.0,8740,0,0.007595687638968229,0.005181372165679932
context_bottleneck_no_geo,-45.0,628,0,0.006205146200954914,-0.0004967451095581055
context_bottleneck_no_geo,-45.0,2306,0,0.01278345100581646,0.00029724836349487305
context_bottleneck_no_geo,-45.0,3016,0,0.09041349589824677,0.0380629301071167
