method,stage,angle,angle_type,accuracy,nll,curriculum_name
context_bottleneck_geo_cb_c,3,75.0,extrapolation,0.19921875,2.2799458503723145,cb_c
context_bottleneck_geo_cb_c,4,-60.0,train,0.3828125,1.5617021322250366,cb_c
context_bottleneck_geo_cb_c,4,-30.0,train,0.65234375,0.9419965744018555,cb_c
context_bottleneck_geo_cb_c,4,0.0,train,0.875,0.43158456683158875,cb_c
context_bottleneck_geo_cb_c,4,30.0,train,0.75,0.7700009942054749,cb_c
context_bottleneck_geo_cb_c,4,60.0,train,0.46484375,1.4410985708236694,cb_c
context_bottleneck_geo_cb_c,4,-45.0,interpolation,0.53515625,1.2415353059768677,cb_c
context_bottleneck_geo_cb_c,4,-15.0,interpolation,0.81640625,0.5597106218338013,cb_c
context_bottleneck_geo_cb_c,4,15.0,interpolation,0.8515625,0.5152978897094727,cb_c
context_bottleneck_geo_cb_c,4,45.0,interpolation,0.65625,1.0457340478897095,cb_c
context_bottleneck_geo_cb_c,4,-75.0,extrapolation,0.33984375,1.7915689945220947,cb_c
context_bottleneck_geo_cb_c,4,75.0,extrapolation,0.296875,2.002819776535034,cb_c
context_bottleneck_geo_cb_d,0,-60.0,train,0.16796875,2.4311981201171875,cb_d
context_bottleneck_geo_cb_d,0,-30.0,train,0.17578125,2.5312862396240234,cb_d
context_bottleneck_geo_cb_d,0,0.0,train,0.28125,2.1633448600769043,cb_d
context_bottleneck_geo_cb_d,0,30.0,train,0.48046875,1.5994505882263184,cb_d
context_bottleneck_geo_cb_d,0,60.0,train,0.61328125,1.3556314706802368,cb_d
context_bottleneck_geo_cb_d,0,-45.0,interpolation,0.14453125,2.5412888526916504,cb_d
context_bottleneck_geo_cb_d,0,-15.0,interpolation,0.25,2.354426860809326,cb_d
context_bottleneck_geo_cb_d,0,15.0,interpolation,0.31640625,1.9227427244186401,cb_d
context_bottleneck_geo_cb_d,0,45.0,interpolation,0.625,1.3486953973770142,cb_d
context_bottleneck_geo_cb_d,0,-75.0,extrapolation,0.1640625,2.3092453479766846,cb_d
context_bottleneck_geo_cb_d,0,75.0,extrapolation,0.5078125,1.5981040000915527,cb_d
context_bottleneck_geo_cb_d,1,-60.0,train,0.50390625,1.546884536743164,cb_d
context_bottleneck_geo_cb_d,1,-30.0,train,0.34375,1.925569772720337,cb_d
context_bottleneck_geo_cb_d,1,0.0,train,0.34765625,2.0561935901641846,cb_d
context_bottleneck_geo_cb_d,1,30.0,train,0.46484375,1.5602887868881226,cb_d
context_bottleneck_geo_cb_d,1,60.0,train,0.5546875,1.304404854774475,cb_d
context_bottleneck_geo_cb_d,1,-45.0,interpolation,0.44921875,1.623594880104065,cb_d
context_bottleneck_geo_cb_d,1,-15.0,interpolation,0.34375,2.0812466144561768,cb_d
context_bottleneck_geo_cb_d,1,15.0,interpolation,0.375,1.8839893341064453,cb_d
context_bottleneck_geo_cb_d,1,45.0,interpolation,0.54296875,1.2700814008712769,cb_d
context_bottleneck_geo_cb_d,1,-75.0,extrapolation,0.453125,1.6101645231246948,cb_d
context_bottleneck_geo_cb_d,1,75.0,extrapolation,0.421875,1.6206532716751099,cb_d
context_bottleneck_geo_cb_d,2,-60.0,train,0.53125,1.327114224433899,cb_d
context_bottleneck_geo_cb_d,2,-30.0,train,0.7421875,0.8562003970146179,cb_d
context_bottleneck_geo_cb_d,2,0.0,train,0.6640625,0.9148738384246826,cb_d
context_bottleneck_geo_cb_d,2,30.0,train,0.484375,1.3616596460342407,cb_d
context_bottleneck_geo_cb_d,2,60.0,train,0.30859375,1.834189772605896,cb_d
context_bottleneck_geo_cb_d,2,-45.0,interpolation,0.67578125,0.9785594940185547,cb_d
context_bottleneck_geo_cb_d,2,-15.0,interpolation,0.75,0.8423530459403992,cb_d
context_bottleneck_geo_cb_d,2,15.0,interpolation,0.5625,1.1280485391616821,cb_d
context_bottleneck_geo_cb_d,2,45.0,interpolation,0.390625,1.5345807075500488,cb_d
context_bottleneck_geo_cb_d,2,-75.0,extrapolation,0.39453125,1.6483629941940308,cb_d
context_bottleneck_geo_cb_d,2,75.0,extrapolation,0.2109375,2.3212690353393555,cb_d
context_bottleneck_geo_cb_d,3,-60.0,train,0.359375,1.8642263412475586,cb_d
context_bottleneck_geo_cb_d,3,-30.0,train,0.73046875,0.8505344390869141,cb_d
context_bottleneck_geo_cb_d,3,0.0,train,0.90625,0.3110769987106323,cb_d
context_bottleneck_geo_cb_d,3,30.0,train,0.65625,0.9678974747657776,cb_d
context_bottleneck_geo_cb_d,3,60.0,train,0.2734375,1.9392284154891968,cb_d
context_bottleneck_geo_cb_d,3,-45.0,interpolation,0.546875,1.3660410642623901,cb_d
context_bottleneck_geo_cb_d,3,-15.0,interpolation,0.8984375,0.41639161109924316,cb_d
context_bottleneck_geo_cb_d,3,15.0,interpolation,0.83984375,0.4957183599472046,cb_d
context_bottleneck_geo_cb_d,3,45.0,interpolation,0.4140625,1.4654496908187866,cb_d
context_bottleneck_geo_cb_d,3,-75.0,extrapolation,0.28125,2.218078851699829,cb_d
context_bottleneck_geo_cb_d,3,75.0,extrapolation,0.2109375,2.5217080116271973,cb_d
context_bottleneck_geo_cb_d,4,-60.0,train,0.3203125,2.059527635574341,cb_d
context_bottleneck_geo_cb_d,4,-30.0,train,0.5703125,1.3244965076446533,cb_d
context_bottleneck_geo_cb_d,4,0.0,train,0.828125,0.47788888216018677,cb_d
context_bottleneck_geo_cb_d,4,30.0,train,0.765625,0.7256447672843933,cb_d
context_bottleneck_geo_cb_d,4,60.0,train,0.5078125,1.3779726028442383,cb_d
context_bottleneck_geo_cb_d,4,-45.0,interpolation,0.4296875,1.7608574628829956,cb_d
context_bottleneck_geo_cb_d,4,-15.0,interpolation,0.73046875,0.7194705009460449,cb_d
context_bottleneck_geo_cb_d,4,15.0,interpolation,0.84765625,0.5078516006469727,cb_d
context_bottleneck_geo_cb_d,4,45.0,interpolation,0.66796875,1.0075267553329468,cb_d
context_bottleneck_geo_cb_d,4,-75.0,extrapolation,0.2734375,2.2629451751708984,cb_d
context_bottleneck_geo_cb_d,4,75.0,extrapolation,0.32421875,1.9958544969558716,cb_d
