method,stage,angle,angle_type,accuracy,nll
context_bottleneck_no_geo,4,-15.0,interpolation,0.74609375,0.7699283957481384
context_bottleneck_no_geo,4,15.0,interpolation,0.8359375,0.5791577100753784
context_bottleneck_no_geo,4,45.0,interpolation,0.6640625,0.9724237322807312
context_bottleneck_no_geo,4,-75.0,extrapolation,0.25,2.279879093170166
context_bottleneck_no_geo,4,75.0,extrapolation,0.3671875,1.7203876972198486
context_bottleneck_geo,0,-60.0,train,0.51953125,1.4638248682022095
context_bottleneck_geo,0,-30.0,train,0.328125,1.9064521789550781
context_bottleneck_geo,0,0.0,train,0.14453125,2.320896625518799
context_bottleneck_geo,0,30.0,train,0.09375,2.375967264175415
context_bottleneck_geo,0,60.0,train,0.125,2.370950222015381
context_bottleneck_geo,0,-45.0,interpolation,0.453125,1.5882014036178589
context_bottleneck_geo,0,-15.0,interpolation,0.19140625,2.1799778938293457
context_bottleneck_geo,0,15.0,interpolation,0.12109375,2.4015634059906006
context_bottleneck_geo,0,45.0,interpolation,0.08984375,2.32656192779541
context_bottleneck_geo,0,-75.0,extrapolation,0.46875,1.5592225790023804
context_bottleneck_geo,0,75.0,extrapolation,0.125,2.423079490661621
context_bottleneck_geo,1,-60.0,train,0.55078125,1.2395679950714111
context_bottleneck_geo,1,-30.0,train,0.76953125,0.8352466225624084
context_bottleneck_geo,1,0.0,train,0.6796875,0.9643055200576782
context_bottleneck_geo,1,30.0,train,0.35546875,1.7908103466033936
context_bottleneck_geo,1,60.0,train,0.10546875,2.6167027950286865
context_bottleneck_geo,1,-45.0,interpolation,0.7265625,0.9360213279724121
context_bottleneck_geo,1,-15.0,interpolation,0.78515625,0.8336163759231567
context_bottleneck_geo,1,15.0,interpolation,0.4921875,1.3337405920028687
context_bottleneck_geo,1,45.0,interpolation,0.1953125,2.2326581478118896
context_bottleneck_geo,1,-75.0,extrapolation,0.40625,1.6031006574630737
context_bottleneck_geo,1,75.0,extrapolation,0.09375,2.839757204055786
context_bottleneck_geo,2,-60.0,train,0.33984375,2.0085856914520264
context_bottleneck_geo,2,-30.0,train,0.71875,0.8618168234825134
context_bottleneck_geo,2,0.0,train,0.91015625,0.3213289976119995
context_bottleneck_geo,2,30.0,train,0.59765625,1.289703130722046
context_bottleneck_geo,2,60.0,train,0.1796875,2.9089081287384033
context_bottleneck_geo,2,-45.0,interpolation,0.53515625,1.4119893312454224
context_bottleneck_geo,2,-15.0,interpolation,0.890625,0.4013807475566864
context_bottleneck_geo,2,15.0,interpolation,0.8125,0.6055252552032471
context_bottleneck_geo,2,45.0,interpolation,0.3359375,2.180109977722168
context_bottleneck_geo,2,-75.0,extrapolation,0.26171875,2.486656904220581
context_bottleneck_geo,2,75.0,extrapolation,0.1328125,3.348876953125
context_bottleneck_geo,3,-60.0,train,0.25390625,2.04864764213562
context_bottleneck_geo,3,-30.0,train,0.46875,1.4310630559921265
context_bottleneck_geo,3,0.0,train,0.765625,0.6648306250572205
context_bottleneck_geo,3,30.0,train,0.6953125,0.953502893447876
context_bottleneck_geo,3,60.0,train,0.51171875,1.3593589067459106
context_bottleneck_geo,3,-45.0,interpolation,0.33984375,1.8375738859176636
context_bottleneck_geo,3,-15.0,interpolation,0.7109375,0.8697593212127686
context_bottleneck_geo,3,15.0,interpolation,0.765625,0.745634138584137
context_bottleneck_geo,3,45.0,interpolation,0.58203125,1.170071005821228
context_bottleneck_geo,3,-75.0,extrapolation,0.24609375,2.138796329498291
context_bottleneck_geo,3,75.0,extrapolation,0.41796875,1.7006241083145142
context_bottleneck_geo,4,-60.0,train,0.2734375,2.123286724090576
context_bottleneck_geo,4,-30.0,train,0.5625,1.3627232313156128
context_bottleneck_geo,4,0.0,train,0.81640625,0.5639061331748962
context_bottleneck_geo,4,30.0,train,0.75,0.7759476900100708
context_bottleneck_geo,4,60.0,train,0.5625,1.2350473403930664
context_bottleneck_geo,4,-45.0,interpolation,0.37890625,1.7967838048934937
context_bottleneck_geo,4,-15.0,interpolation,0.7421875,0.7804793119430542
context_bottleneck_geo,4,15.0,interpolation,0.828125,0.5915870070457458
context_bottleneck_geo,4,45.0,interpolation,0.671875,0.9824263453483582
context_bottleneck_geo,4,-75.0,extrapolation,0.24609375,2.301290273666382
context_bottleneck_geo,4,75.0,extrapolation,0.36328125,1.7118725776672363
sensory_bottleneck_no_geo,0,-60.0,train,0.5234375,1.457075834274292
sensory_bottleneck_no_geo,0,-30.0,train,0.3359375,1.9005661010742188
sensory_bottleneck_no_geo,0,0.0,train,0.1484375,2.31938099861145
sensory_bottleneck_no_geo,0,30.0,train,0.0859375,2.373684883117676
sensory_bottleneck_no_geo,0,60.0,train,0.12890625,2.3705496788024902
sensory_bottleneck_no_geo,0,-45.0,interpolation,0.45703125,1.5804588794708252
sensory_bottleneck_no_geo,0,-15.0,interpolation,0.1953125,2.1770377159118652
sensory_bottleneck_no_geo,0,15.0,interpolation,0.12890625,2.4001967906951904
sensory_bottleneck_no_geo,0,45.0,interpolation,0.08984375,2.3244197368621826
sensory_bottleneck_no_geo,0,-75.0,extrapolation,0.46875,1.5540026426315308
sensory_bottleneck_no_geo,0,75.0,extrapolation,0.12890625,2.425995349884033
sensory_bottleneck_no_geo,1,-60.0,train,0.55078125,1.2474266290664673
sensory_bottleneck_no_geo,1,-30.0,train,0.76171875,0.8259496092796326
sensory_bottleneck_no_geo,1,0.0,train,0.68359375,0.9494894742965698
sensory_bottleneck_no_geo,1,30.0,train,0.34765625,1.799176573753357
sensory_bottleneck_no_geo,1,60.0,train,0.109375,2.651712417602539
sensory_bottleneck_no_geo,1,-45.0,interpolation,0.734375,0.9298306107521057
sensory_bottleneck_no_geo,1,-15.0,interpolation,0.7734375,0.8180120587348938
sensory_bottleneck_no_geo,1,15.0,interpolation,0.50390625,1.331687331199646
sensory_bottleneck_no_geo,1,45.0,interpolation,0.1953125,2.2524702548980713
sensory_bottleneck_no_geo,1,-75.0,extrapolation,0.40234375,1.6190303564071655
sensory_bottleneck_no_geo,1,75.0,extrapolation,0.10546875,2.893768787384033
sensory_bottleneck_no_geo,2,-60.0,train,0.34765625,2.020052909851074
sensory_bottleneck_no_geo,2,-30.0,train,0.7109375,0.8538295030593872
sensory_bottleneck_no_geo,2,0.0,train,0.91015625,0.3119872808456421
sensory_bottleneck_no_geo,2,30.0,train,0.58984375,1.3017593622207642
sensory_bottleneck_no_geo,2,60.0,train,0.1875,2.9568259716033936
sensory_bottleneck_no_geo,2,-45.0,interpolation,0.53515625,1.410870909690857
sensory_bottleneck_no_geo,2,-15.0,interpolation,0.88671875,0.39097145199775696
sensory_bottleneck_no_geo,2,15.0,interpolation,0.83203125,0.6036117076873779
sensory_bottleneck_no_geo,2,45.0,interpolation,0.34375,2.2226574420928955
sensory_bottleneck_no_geo,2,-75.0,extrapolation,0.26953125,2.471320629119873
sensory_bottleneck_no_geo,2,75.0,extrapolation,0.12109375,3.4286835193634033
sensory_bottleneck_no_geo,3,-60.0,train,0.25390625,2.0559136867523193
sensory_bottleneck_no_geo,3,-30.0,train,0.484375,1.5373364686965942
sensory_bottleneck_no_geo,3,0.0,train,0.75390625,0.8464739322662354
sensory_bottleneck_no_geo,3,30.0,train,0.67578125,1.0071474313735962
sensory_bottleneck_no_geo,3,60.0,train,0.52734375,1.3257815837860107
sensory_bottleneck_no_geo,3,-45.0,interpolation,0.34375,1.8594378232955933
sensory_bottleneck_no_geo,3,-15.0,interpolation,0.69921875,1.037575364112854
sensory_bottleneck_no_geo,3,15.0,interpolation,0.75,0.8760414123535156
sensory_bottleneck_no_geo,3,45.0,interpolation,0.58984375,1.1525834798812866
sensory_bottleneck_no_geo,3,-75.0,extrapolation,0.234375,2.186378240585327
sensory_bottleneck_no_geo,3,75.0,extrapolation,0.41015625,1.6836299896240234
sensory_bottleneck_no_geo,4,-60.0,train,0.26171875,2.1253039836883545
sensory_bottleneck_no_geo,4,-30.0,train,0.546875,1.3544615507125854
sensory_bottleneck_no_geo,4,0.0,train,0.81640625,0.5484166741371155
sensory_bottleneck_no_geo,4,30.0,train,0.75,0.7542728781700134
sensory_bottleneck_no_geo,4,60.0,train,0.54296875,1.2277734279632568
sensory_bottleneck_no_geo,4,-45.0,interpolation,0.36328125,1.8008559942245483
sensory_bottleneck_no_geo,4,-15.0,interpolation,0.7421875,0.7700686454772949
sensory_bottleneck_no_geo,4,15.0,interpolation,0.82421875,0.561725378036499
sensory_bottleneck_no_geo,4,45.0,interpolation,0.6796875,0.9724202156066895
sensory_bottleneck_no_geo,4,-75.0,extrapolation,0.2265625,2.286531686782837
sensory_bottleneck_no_geo,4,75.0,extrapolation,0.3359375,1.6948298215866089
sensory_bottleneck_geo,0,-60.0,train,0.5234375,1.457075834274292
sensory_bottleneck_geo,0,-30.0,train,0.3359375,1.9005661010742188
sensory_bottleneck_geo,0,0.0,train,0.1484375,2.31938099861145
sensory_bottleneck_geo,0,30.0,train,0.0859375,2.373684883117676
sensory_bottleneck_geo,0,60.0,train,0.12890625,2.3705496788024902
sensory_bottleneck_geo,0,-45.0,interpolation,0.45703125,1.5804588794708252
sensory_bottleneck_geo,0,-15.0,interpolation,0.1953125,2.1770377159118652
sensory_bottleneck_geo,0,15.0,interpolation,0.12890625,2.4001967906951904
sensory_bottleneck_geo,0,45.0,interpolation,0.08984375,2.3244197368621826
sensory_bottleneck_geo,0,-75.0,extrapolation,0.46875,1.5540026426315308
sensory_bottleneck_geo,0,75.0,extrapolation,0.12890625,2.425995349884033
sensory_bottleneck_geo,1,-60.0,train,0.5546875,1.2475701570510864
sensory_bottleneck_geo,1,-30.0,train,0.765625,0.8270343542098999
sensory_bottleneck_geo,1,0.0,train,0.68359375,0.953744649887085
sensory_bottleneck_geo,1,30.0,train,0.33984375,1.8021539449691772
sensory_bottleneck_geo,1,60.0,train,0.10546875,2.6570096015930176
sensory_bottleneck_geo,1,-45.0,interpolation,0.73046875,0.9290745258331299
sensory_bottleneck_geo,1,-15.0,interpolation,0.7734375,0.8208763003349304
sensory_bottleneck_geo,1,15.0,interpolation,0.5,1.3363465070724487
sensory_bottleneck_geo,1,45.0,interpolation,0.1875,2.2557289600372314
sensory_bottleneck_geo,1,-75.0,extrapolation,0.3984375,1.6197326183319092
sensory_bottleneck_geo,1,75.0,extrapolation,0.1015625,2.9033312797546387
sensory_bottleneck_geo,2,-60.0,train,0.34375,2.0085768699645996
sensory_bottleneck_geo,2,-30.0,train,0.71484375,0.8470991253852844
sensory_bottleneck_geo,2,0.0,train,0.91015625,0.3110796809196472
sensory_bottleneck_geo,2,30.0,train,0.58984375,1.294562816619873
sensory_bottleneck_geo,2,60.0,train,0.1953125,2.9365131855010986
sensory_bottleneck_geo,2,-45.0,interpolation,0.5390625,1.3976331949234009
sensory_bottleneck_geo,2,-15.0,interpolation,0.88671875,0.3904115855693817
sensory_bottleneck_geo,2,15.0,interpolation,0.83203125,0.600074827671051
sensory_bottleneck_geo,2,45.0,interpolation,0.34375,2.20367169380188
sensory_bottleneck_geo,2,-75.0,extrapolation,0.265625,2.4648420810699463
sensory_bottleneck_geo,2,75.0,extrapolation,0.12109375,3.415140151977539
sensory_bottleneck_geo,3,-60.0,train,0.234375,2.1444602012634277
sensory_bottleneck_geo,3,-30.0,train,0.453125,1.6085683107376099
sensory_bottleneck_geo,3,0.0,train,0.73828125,0.8403323292732239
sensory_bottleneck_geo,3,30.0,train,0.66796875,1.011810541152954
sensory_bottleneck_geo,3,60.0,train,0.5390625,1.3622256517410278
sensory_bottleneck_geo,3,-45.0,interpolation,0.328125,1.9513102769851685
sensory_bottleneck_geo,3,-15.0,interpolation,0.671875,1.062851071357727
sensory_bottleneck_geo,3,15.0,interpolation,0.74609375,0.8703027963638306
sensory_bottleneck_geo,3,45.0,interpolation,0.58984375,1.18013596534729
sensory_bottleneck_geo,3,-75.0,extrapolation,0.2265625,2.2564618587493896
sensory_bottleneck_geo,3,75.0,extrapolation,0.421875,1.7185770273208618
sensory_bottleneck_geo,4,-60.0,train,0.27734375,2.070430040359497
sensory_bottleneck_geo,4,-30.0,train,0.56640625,1.2970061302185059
sensory_bottleneck_geo,4,0.0,train,0.83203125,0.5251984000205994
sensory_bottleneck_geo,4,30.0,train,0.75,0.7546200156211853
sensory_bottleneck_geo,4,60.0,train,0.5390625,1.238896131515503
sensory_bottleneck_geo,4,-45.0,interpolation,0.3671875,1.7347952127456665
sensory_bottleneck_geo,4,-15.0,interpolation,0.75,0.7341526746749878
sensory_bottleneck_geo,4,15.0,interpolation,0.859375,0.547824501991272
sensory_bottleneck_geo,4,45.0,interpolation,0.68359375,0.9791415333747864
sensory_bottleneck_geo,4,-75.0,extrapolation,0.25390625,2.2401340007781982
sensory_bottleneck_geo,4,75.0,extrapolation,0.33203125,1.7055647373199463
