model_seed,method,source_index,target_angle,donor_angle,gap,category,nominal_route_distance,functional_route_distance,prediction_preserved,true_log_prob_change
4,r0_mlp,3213,-75.0,30.0,105.0,far,0.26161375641822815,0.3824078440666199,0,0.03270101547241211
4,r0_mlp,8351,-75.0,30.0,105.0,far,0.1709120273590088,0.23268359899520874,1,-0.4941220283508301
4,r0_mlp,4655,-75.0,30.0,105.0,far,0.051866233348846436,0.03548241779208183,1,0.019825756549835205
4,r0_mlp,6249,-75.0,30.0,105.0,far,0.2143714278936386,0.3073013424873352,1,-0.05178356170654297
4,r0_mlp,8929,-75.0,30.0,105.0,far,0.2629499137401581,0.35284584760665894,0,-0.769507884979248
4,r0_mlp,6036,-75.0,30.0,105.0,far,0.17913635075092316,0.1885049045085907,1,0.019509553909301758
4,r0_mlp,1671,-75.0,30.0,105.0,far,0.1426854282617569,0.2054225355386734,1,-0.3749237060546875
4,r0_mlp,3885,-75.0,30.0,105.0,far,0.046181172132492065,0.06268135458230972,1,0.009527325630187988
4,r0_mlp,3768,-75.0,30.0,105.0,far,0.022088395431637764,0.004141135141253471,1,0.008066564798355103
4,r0_mlp,4069,-75.0,30.0,105.0,far,0.06408339738845825,0.08371154963970184,1,-0.01736283302307129
4,r0_mlp,9482,-75.0,30.0,105.0,far,0.28388381004333496,0.37854212522506714,1,-0.5122528076171875
4,r0_mlp,1037,-75.0,30.0,105.0,far,0.1118655651807785,0.141557514667511,1,0.03316211700439453
4,r0_mlp,9099,-75.0,30.0,105.0,far,0.06337173283100128,0.05549472197890282,1,-0.1071237325668335
4,r0_mlp,1129,-75.0,30.0,105.0,far,0.1874588131904602,0.26885485649108887,1,-0.1254199743270874
4,r0_mlp,2066,-75.0,30.0,105.0,far,0.19771195948123932,0.22549785673618317,1,-0.021320343017578125
4,r0_mlp,8225,-75.0,30.0,105.0,far,0.08410954475402832,0.12095145881175995,1,-0.15726089477539062
4,r0_mlp,5603,-75.0,30.0,105.0,far,0.12061066925525665,0.12754234671592712,1,0.0035834312438964844
4,r0_mlp,755,-75.0,30.0,105.0,far,0.03383740410208702,0.021214788779616356,1,0.0011352300643920898
4,r0_mlp,9587,-75.0,30.0,105.0,far,0.05244499817490578,0.07234042137861252,1,0.01092231273651123
4,r0_mlp,544,-75.0,45.0,120.0,far,0.056524261832237244,0.08193422853946686,1,-0.0624614953994751
4,r0_mlp,4306,-75.0,45.0,120.0,far,0.14875036478042603,0.18991483747959137,1,-0.4654712677001953
4,r0_mlp,6410,-75.0,45.0,120.0,far,0.05767350271344185,0.07839980721473694,1,-0.025572776794433594
4,r0_mlp,6382,-75.0,45.0,120.0,far,0.27397042512893677,0.37465494871139526,0,-0.7444138526916504
4,r0_mlp,8949,-75.0,45.0,120.0,far,0.20671649277210236,0.2943408787250519,1,-0.021565675735473633
4,r0_mlp,9600,-75.0,45.0,120.0,far,0.14262384176254272,0.20322838425636292,0,-0.139245867729187
4,r0_mlp,486,-75.0,45.0,120.0,far,0.045175183564424515,0.06209345534443855,1,0.03089427947998047
4,r0_mlp,109,-75.0,45.0,120.0,far,0.059429168701171875,0.0739782303571701,1,-0.014098405838012695
4,r0_mlp,2500,-75.0,45.0,120.0,far,0.07356590032577515,0.060257088392972946,1,-0.059987545013427734
4,r0_mlp,1413,-75.0,45.0,120.0,far,0.04878094419836998,0.05869205296039581,1,0.005595088005065918
4,r0_mlp,360,-75.0,45.0,120.0,far,0.11449558287858963,0.1736389696598053,1,-0.1394824981689453
4,r0_mlp,2139,-75.0,45.0,120.0,far,0.27465641498565674,0.37181052565574646,1,-0.32056593894958496
4,r0_mlp,9158,-75.0,45.0,120.0,far,0.16791929304599762,0.2015291452407837,1,0.06936407089233398
4,r0_mlp,3213,-75.0,45.0,120.0,far,0.16736003756523132,0.23976843059062958,0,-0.01451730728149414
4,r0_mlp,8351,-75.0,45.0,120.0,far,0.22466686367988586,0.2925025224685669,1,-0.480663537979126
4,r0_mlp,4655,-75.0,45.0,120.0,far,0.044458333402872086,0.03026420995593071,1,0.011465907096862793
4,r0_mlp,6249,-75.0,45.0,120.0,far,0.07871576398611069,0.1189887523651123,1,-0.0058498382568359375
4,r0_mlp,8929,-75.0,45.0,120.0,far,0.2619874179363251,0.34973347187042236,0,-0.7779068946838379
4,r0_mlp,6036,-75.0,45.0,120.0,far,0.17283369600772858,0.17695650458335876,1,0.011990189552307129
4,r0_mlp,1671,-75.0,45.0,120.0,far,0.143351212143898,0.2017722725868225,1,-0.3881564140319824
4,r0_mlp,3885,-75.0,45.0,120.0,far,0.02543022856116295,0.00209742970764637,1,0.004158616065979004
4,r0_mlp,3768,-75.0,45.0,120.0,far,0.02232031524181366,0.0060450369492173195,1,0.008118152618408203
4,r0_mlp,4069,-75.0,45.0,120.0,far,0.06102758273482323,0.07755787670612335,1,-0.01410984992980957
4,r0_mlp,9482,-75.0,45.0,120.0,far,0.28085240721702576,0.37293222546577454,1,-0.5201950073242188
4,r0_mlp,1037,-75.0,45.0,120.0,far,0.08783097565174103,0.07109696418046951,1,0.03597402572631836
4,r0_mlp,9099,-75.0,45.0,120.0,far,0.05939309671521187,0.05301203578710556,1,-0.09428632259368896
4,r0_mlp,1129,-75.0,45.0,120.0,far,0.09097849577665329,0.12610599398612976,1,-0.01956474781036377
4,r0_mlp,2066,-75.0,45.0,120.0,far,0.20082314312458038,0.21768909692764282,1,-0.02107858657836914
4,r0_mlp,8225,-75.0,45.0,120.0,far,0.17201358079910278,0.26051121950149536,1,-0.2420024871826172
4,r0_mlp,5603,-75.0,45.0,120.0,far,0.09387192130088806,0.10546784847974777,1,0.00228959321975708
4,r0_mlp,755,-75.0,45.0,120.0,far,0.034375108778476715,0.0215029064565897,1,0.0014756321907043457
4,r0_mlp,9587,-75.0,45.0,120.0,far,0.05422695726156235,0.07207252085208893,1,0.021802186965942383
4,r0_mlp,544,-75.0,60.0,135.0,far,0.061490125954151154,0.08937205374240875,1,-0.06647884845733643
4,r0_mlp,4306,-75.0,60.0,135.0,far,0.03807617351412773,0.025830555707216263,1,-0.009439468383789062
4,r0_mlp,6410,-75.0,60.0,135.0,far,0.02589668333530426,0.01935873180627823,1,-0.019362926483154297
4,r0_mlp,6382,-75.0,60.0,135.0,far,0.2636590003967285,0.3487469255924225,0,-0.6963305473327637
4,r0_mlp,8949,-75.0,60.0,135.0,far,0.10150868445634842,0.15410888195037842,1,-0.011779308319091797
4,r0_mlp,9600,-75.0,60.0,135.0,far,0.10093396157026291,0.1315525472164154,1,0.034807562828063965
4,r0_mlp,486,-75.0,60.0,135.0,far,0.004555272404104471,1.372361246865239e-08,1,-0.0014352798461914062
4,r0_mlp,109,-75.0,60.0,135.0,far,0.03998998552560806,0.025719357654452324,1,-0.022516071796417236
4,r0_mlp,2500,-75.0,60.0,135.0,far,0.04727557674050331,0.04515746608376503,0,0.021431922912597656
4,r0_mlp,1413,-75.0,60.0,135.0,far,0.010770507156848907,0.00015193688159342855,1,-0.007757306098937988
4,r0_mlp,360,-75.0,60.0,135.0,far,0.020240887999534607,4.035219899378717e-05,1,-0.028363704681396484
4,r0_mlp,2139,-75.0,60.0,135.0,far,0.2735452950000763,0.3625781238079071,1,-0.2927846908569336
4,r0_mlp,9158,-75.0,60.0,135.0,far,0.20761853456497192,0.2651268243789673,1,0.20555651187896729
4,r0_mlp,3213,-75.0,60.0,135.0,far,0.015265698544681072,0.0008785583777353168,1,0.021069049835205078
4,r0_mlp,8351,-75.0,60.0,135.0,far,0.254184752702713,0.32759419083595276,1,-0.5283513069152832
4,r0_mlp,4655,-75.0,60.0,135.0,far,0.030219729989767075,0.020328247919678688,1,0.0019704103469848633
4,r0_mlp,6249,-75.0,60.0,135.0,far,0.04761764034628868,0.05538333207368851,1,0.00434565544128418
4,r0_mlp,8929,-75.0,60.0,135.0,far,0.2560359239578247,0.3399483561515808,0,-0.792081356048584
4,r0_mlp,6036,-75.0,60.0,135.0,far,0.09974734485149384,0.10468946397304535,1,-0.00029730796813964844
4,r0_mlp,1671,-75.0,60.0,135.0,far,0.15129287540912628,0.13599710166454315,1,-0.4074859619140625
4,r0_mlp,3885,-75.0,60.0,135.0,far,0.20928557217121124,0.2490900158882141,1,-0.10322463512420654
4,r0_mlp,3768,-75.0,60.0,135.0,far,0.04734667018055916,0.052173469215631485,1,0.015380620956420898
4,r0_mlp,4069,-75.0,60.0,135.0,far,0.0261965561658144,0.017151515930891037,1,0.005513191223144531
4,r0_mlp,9482,-75.0,60.0,135.0,far,0.20716823637485504,0.2686243951320648,1,-0.4377169609069824
4,r0_mlp,1037,-75.0,60.0,135.0,far,0.07590670138597488,0.05946789309382439,1,0.03434562683105469
4,r0_mlp,9099,-75.0,60.0,135.0,far,0.0672377347946167,0.07067064195871353,1,-0.11811816692352295
4,r0_mlp,1129,-75.0,60.0,135.0,far,0.06912287324666977,0.08965741097927094,1,-0.004707813262939453
4,r0_mlp,2066,-75.0,60.0,135.0,far,0.21915866434574127,0.2766996920108795,1,-0.0415191650390625
4,r0_mlp,8225,-75.0,60.0,135.0,far,0.2344522625207901,0.3148929178714752,0,-0.003357410430908203
4,r0_mlp,5603,-75.0,60.0,135.0,far,0.2055436074733734,0.2508210837841034,1,0.009778425097465515
4,r0_mlp,755,-75.0,60.0,135.0,far,0.009089680388569832,4.057936166645959e-06,1,0.0035749077796936035
4,r0_mlp,9587,-75.0,60.0,135.0,far,0.026326386258006096,0.01670144312083721,1,0.010326862335205078
4,r0_mlp,544,-75.0,75.0,150.0,far,0.0008477598894387484,9.321774463444399e-09,1,0.00012159347534179688
4,r0_mlp,4306,-75.0,75.0,150.0,far,0.032658372074365616,0.02017553523182869,1,0.00843048095703125
4,r0_mlp,6410,-75.0,75.0,150.0,far,0.006618498358875513,2.118790121130587e-07,1,-0.0070095062255859375
4,r0_mlp,6382,-75.0,75.0,150.0,far,0.2666493058204651,0.3544934391975403,0,-0.6965112686157227
4,r0_mlp,8949,-75.0,75.0,150.0,far,0.04788907244801521,0.06415162235498428,1,-0.0038254261016845703
4,r0_mlp,9600,-75.0,75.0,150.0,far,0.11764738708734512,0.1116553470492363,1,0.18787360191345215
4,r0_mlp,486,-75.0,75.0,150.0,far,0.003947163466364145,9.3908401055387e-09,1,0.0003151893615722656
4,r0_mlp,109,-75.0,75.0,150.0,far,0.04513804242014885,0.03167545422911644,1,-0.01822638511657715
4,r0_mlp,2500,-75.0,75.0,150.0,far,0.04162685573101044,0.039078593254089355,0,0.032263755798339844
