model_seed,metric,angle_a,angle_b,factor_gap,category,distance
4,airm,-45.0,30.0,75.0,mid,0.9548506567284402
4,airm,-45.0,45.0,90.0,far,0.7020499628397612
4,airm,-45.0,60.0,105.0,far,0.7791743750307617
4,airm,-45.0,75.0,120.0,far,0.9502197076899431
4,airm,-30.0,-15.0,15.0,near,0.5069546911861388
4,airm,-30.0,0.0,30.0,near,0.8631326083333298
4,airm,-30.0,15.0,45.0,mid,1.0366404372816307
4,airm,-30.0,30.0,60.0,mid,0.9144604768538455
4,airm,-30.0,45.0,75.0,mid,0.6538289522644748
4,airm,-30.0,60.0,90.0,far,0.8869144842698277
4,airm,-30.0,75.0,105.0,far,1.119618658500105
4,airm,-15.0,0.0,15.0,near,0.4126574426936206
4,airm,-15.0,15.0,30.0,near,0.6626079833490066
4,airm,-15.0,30.0,45.0,mid,0.6560808981971614
4,airm,-15.0,45.0,60.0,mid,0.5001586558110848
4,airm,-15.0,60.0,75.0,mid,0.6859003813958824
4,airm,-15.0,75.0,90.0,far,0.8414223617118596
4,airm,0.0,15.0,15.0,near,0.3384742636909956
4,airm,0.0,30.0,30.0,near,0.47448853404268376
4,airm,0.0,45.0,45.0,mid,0.5170755576495683
4,airm,0.0,60.0,60.0,mid,0.6264540964474439
4,airm,0.0,75.0,75.0,mid,0.7710848441356773
4,airm,15.0,30.0,15.0,near,0.28285663472488676
4,airm,15.0,45.0,30.0,near,0.5043819398683647
4,airm,15.0,60.0,45.0,mid,0.5975581400004637
4,airm,15.0,75.0,60.0,mid,0.8268470867575648
4,airm,30.0,45.0,15.0,near,0.3489134021632974
4,airm,30.0,60.0,30.0,near,0.6219889405465138
4,airm,30.0,75.0,45.0,mid,0.9724370012877923
4,airm,45.0,60.0,15.0,near,0.47392738085936287
4,airm,45.0,75.0,30.0,near,0.8661567569664639
4,airm,60.0,75.0,15.0,near,0.4935448487581109
4,bures,-75.0,-60.0,15.0,near,0.11535943850817507
