model_seed,method,stage,angle,angle_type,accuracy,nll
1,r0_mlp,2,0.0,train,0.9375,0.2707026988267899
1,r0_mlp,2,15.0,heldout,0.8765625,0.4645246207714081
1,r0_mlp,2,30.0,train,0.6609375,1.0305049419403076
1,r0_mlp,2,45.0,heldout,0.3890625,1.8910142660140992
1,r0_mlp,2,60.0,train,0.2125,2.6111228466033936
1,r0_mlp,2,75.0,heldout,0.1359375,3.0852706909179686
1,r0_mlp,3,-75.0,heldout,0.2546875,2.4227007389068604
1,r0_mlp,3,-60.0,train,0.28125,2.2646531581878664
1,r0_mlp,3,-45.0,heldout,0.334375,1.937465000152588
1,r0_mlp,3,-30.0,train,0.478125,1.4671661376953125
1,r0_mlp,3,-15.0,heldout,0.6765625,0.900460135936737
1,r0_mlp,3,0.0,train,0.759375,0.6799317002296448
1,r0_mlp,3,15.0,heldout,0.734375,0.781282103061676
1,r0_mlp,3,30.0,train,0.675,0.9737094879150391
1,r0_mlp,3,45.0,heldout,0.5984375,1.190473484992981
1,r0_mlp,3,60.0,train,0.534375,1.364224410057068
1,r0_mlp,3,75.0,heldout,0.4203125,1.7597903728485107
1,r0_mlp,4,-75.0,heldout,0.225,2.4104293823242187
1,r0_mlp,4,-60.0,train,0.2609375,2.1467989921569823
1,r0_mlp,4,-45.0,heldout,0.409375,1.692832922935486
1,r0_mlp,4,-30.0,train,0.6125,1.1523304462432862
1,r0_mlp,4,-15.0,heldout,0.8140625,0.6143709599971772
1,r0_mlp,4,0.0,train,0.903125,0.3998104393482208
1,r0_mlp,4,15.0,heldout,0.88125,0.45724133849143983
1,r0_mlp,4,30.0,train,0.809375,0.658619475364685
1,r0_mlp,4,45.0,heldout,0.6609375,0.9940366387367249
1,r0_mlp,4,60.0,train,0.528125,1.3083059787750244
1,r0_mlp,4,75.0,heldout,0.3703125,1.801773738861084
1,r1_linear,0,-75.0,heldout,0.5015625,1.5114761352539063
1,r1_linear,0,-60.0,train,0.540625,1.4271324157714844
1,r1_linear,0,-45.0,heldout,0.475,1.5818984985351563
1,r1_linear,0,-30.0,train,0.340625,1.9646679401397704
1,r1_linear,0,-15.0,heldout,0.2484375,2.2793890953063967
1,r1_linear,0,0.0,train,0.19375,2.4126553535461426
1,r1_linear,0,15.0,heldout,0.1734375,2.3990346431732177
1,r1_linear,0,30.0,train,0.196875,2.2927129745483397
