model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
2,r0_mlp,heldout_dense,nominal,rho,0.26872279985158776,0.2461648331229576,0.2919979456950151,640
2,r0_mlp,heldout_dense,nominal,stress,0.5523936351112658,0.5432307386615184,0.5613043114224479,640
2,r0_mlp,heldout_dense,functional,rho,0.2536371839160254,0.23131212929971456,0.2769389853367982,640
2,r0_mlp,heldout_dense,functional,stress,0.5862103872358404,0.5766453157739533,0.5952314856618027,640
2,r1_linear,trained,nominal,rho,0.3331159921176788,0.3104908711294893,0.3554635164457702,640
2,r1_linear,trained,nominal,stress,0.485892164410407,0.4765356533398365,0.49487592840727856,640
2,r1_linear,trained,functional,rho,0.28982283142474613,0.26728585606655203,0.3125219450826219,640
2,r1_linear,trained,functional,stress,0.5270269520886713,0.5173863637734775,0.5362516197546268,640
2,r1_linear,heldout_dense,nominal,rho,0.23443075980704292,0.2148507253626172,0.2540865825416512,640
2,r1_linear,heldout_dense,nominal,stress,0.5487912954897537,0.5409080289767415,0.5564321088465339,640
2,r1_linear,heldout_dense,functional,rho,0.2035074084021681,0.18391145265343595,0.22342135798442256,640
2,r1_linear,heldout_dense,functional,stress,0.5838360654948025,0.5749707416594934,0.5920576416921697,640
2,r2_prototype_energy,trained,nominal,rho,0.4342128222836255,0.4102044356483821,0.4589487207382672,640
2,r2_prototype_energy,trained,nominal,stress,0.45336471134525913,0.44483724481778447,0.46217416496717584,640
2,r2_prototype_energy,trained,functional,rho,0.3930450886125528,0.36793575064378986,0.4188926151953332,640
2,r2_prototype_energy,trained,functional,stress,0.4811388362784479,0.47218561076762255,0.490319058271099,640
2,r2_prototype_energy,heldout_dense,nominal,rho,0.29207596729032653,0.26996847981883615,0.3138073229528409,640
2,r2_prototype_energy,heldout_dense,nominal,stress,0.5229904989442188,0.5146314393164636,0.5308036275229736,640
2,r2_prototype_energy,heldout_dense,functional,rho,0.2604552483484114,0.23868362115147493,0.28244256959554404,640
2,r2_prototype_energy,heldout_dense,functional,stress,0.5488714295958592,0.5401753831225646,0.5576071997190891,640
3,r0_mlp,trained,nominal,rho,0.27531232264466476,0.24801895943241112,0.30272486868057413,640
3,r0_mlp,trained,nominal,stress,0.521632074732348,0.5115978570784756,0.5321753134067606,640
3,r0_mlp,trained,functional,rho,0.27036623546295324,0.24353743696540756,0.29700856250098767,640
3,r0_mlp,trained,functional,stress,0.5499122978061076,0.53971654903411,0.5608535226304645,640
3,r0_mlp,heldout_dense,nominal,rho,0.2289555601360652,0.20474602824352495,0.25310464870592186,640
3,r0_mlp,heldout_dense,nominal,stress,0.560021810040385,0.551169283424873,0.5695833322735895,640
3,r0_mlp,heldout_dense,functional,rho,0.22887775466705654,0.2053268316612542,0.25266346287980257,640
3,r0_mlp,heldout_dense,functional,stress,0.5839283969676827,0.5747533128907437,0.5936323169395488,640
3,r1_linear,trained,nominal,rho,0.4479784384158588,0.4245577720797675,0.47030808532040186,640
3,r1_linear,trained,nominal,stress,0.43659911798209333,0.42801099016308786,0.44499441161938014,640
3,r1_linear,trained,functional,rho,0.42892905043488955,0.404842450071622,0.45176398285222286,640
3,r1_linear,trained,functional,stress,0.4635329856929382,0.4542685019676521,0.47267849673192014,640
3,r1_linear,heldout_dense,nominal,rho,0.3108357303735187,0.2891111466684921,0.33233388575531,640
3,r1_linear,heldout_dense,nominal,stress,0.5021410842303908,0.4946578926002673,0.5099837359384118,640
3,r1_linear,heldout_dense,functional,rho,0.29293759081749615,0.27100732691430324,0.31431399504870916,640
3,r1_linear,heldout_dense,functional,stress,0.526507875479785,0.5186704066696775,0.5346933460856813,640
3,r2_prototype_energy,trained,nominal,rho,0.43013081057341784,0.4075647844019576,0.4526970850424272,640
3,r2_prototype_energy,trained,nominal,stress,0.45301969356496885,0.44468634588764844,0.46102174244688515,640
3,r2_prototype_energy,trained,functional,rho,0.34288898365744613,0.3206209145451252,0.36569436866641486,640
3,r2_prototype_energy,trained,functional,stress,0.4907862047865759,0.48277018208987205,0.4987644737707816,640
3,r2_prototype_energy,heldout_dense,nominal,rho,0.30032334700524144,0.27890537448178954,0.320810679668829,640
3,r2_prototype_energy,heldout_dense,nominal,stress,0.5128447396458601,0.5059287090113816,0.5197686901961255,640
3,r2_prototype_energy,heldout_dense,functional,rho,0.23293228410761743,0.21219878358513872,0.2526811852366323,640
3,r2_prototype_energy,heldout_dense,functional,stress,0.5475961539338924,0.5404869101311139,0.5546336507879964,640
4,r0_mlp,trained,nominal,rho,0.2565211641149496,0.22882630376550575,0.28301252624302004,640
4,r0_mlp,trained,nominal,stress,0.5588092398524871,0.5476460212334409,0.5693779599855608,640
4,r0_mlp,trained,functional,rho,0.2664332022823152,0.23877856613585524,0.2922921505523626,640
4,r0_mlp,trained,functional,stress,0.6958060842351753,0.6837805661820457,0.7067823805741992,640
4,r0_mlp,heldout_dense,nominal,rho,0.17315751212072725,0.1492692879983523,0.19783582196404448,640
4,r0_mlp,heldout_dense,nominal,stress,0.6132462308245223,0.6036960230134675,0.6228956922437664,640
4,r0_mlp,heldout_dense,functional,rho,0.17691810978947775,0.15319608679395733,0.201190894646638,640
4,r0_mlp,heldout_dense,functional,stress,0.7366979432975107,0.726325772336524,0.7472699122784007,640
4,r1_linear,trained,nominal,rho,0.38213986024805635,0.3581411572172349,0.40663193050930246,640
4,r1_linear,trained,nominal,stress,0.46242369819342494,0.45314940661726305,0.4714590081302234,640
4,r1_linear,trained,functional,rho,0.370271237392343,0.3450938658950765,0.39492594254836927,640
4,r1_linear,trained,functional,stress,0.49019828470179655,0.48006674336735594,0.49980286266889373,640
4,r1_linear,heldout_dense,nominal,rho,0.29560891192012584,0.2763590464242802,0.3146759345638011,640
4,r1_linear,heldout_dense,nominal,stress,0.518441003669114,0.5106062785573607,0.5260314535545447,640
4,r1_linear,heldout_dense,functional,rho,0.2944908185136315,0.27377431992697315,0.3156199022123383,640
4,r1_linear,heldout_dense,functional,stress,0.5404193072003013,0.5314808832884879,0.5488354344908626,640
4,r2_prototype_energy,trained,nominal,rho,0.3077697782869001,0.28346591756801026,0.3311427714935291,640
4,r2_prototype_energy,trained,nominal,stress,0.5170975967912786,0.507568653877592,0.5260968606924944,640
4,r2_prototype_energy,trained,functional,rho,0.31634100968813916,0.2929290337662728,0.33984038634735303,640
4,r2_prototype_energy,trained,functional,stress,0.5262584604280016,0.5160626328590917,0.535795980162137,640
4,r2_prototype_energy,heldout_dense,nominal,rho,0.21856997086543162,0.1985019232292795,0.23885320825707337,640
4,r2_prototype_energy,heldout_dense,nominal,stress,0.5636045094344666,0.5557434328469286,0.5716930007579031,640
4,r2_prototype_energy,heldout_dense,functional,rho,0.23573039930789083,0.21388651388371763,0.2576101616983291,640
4,r2_prototype_energy,heldout_dense,functional,stress,0.5701780450346845,0.5617182249606888,0.5787931968539173,640
