model_seed,method,source_index,scale,nominal_change,functional_change,prediction_preserved
0,r0_mlp,8778,0.02,0.0010242677526548505,1.1335065330797534e-08,1
0,r0_mlp,2497,0.02,0.0017715191934257746,1.6696690252615554e-08,1
0,r0_mlp,9443,0.02,0.0007765746559016407,1.1757446571891705e-08,1
0,r0_mlp,2261,0.02,0.001425642054527998,1.527448745264337e-08,1
0,r0_mlp,3557,0.02,0.001828539534471929,1.8990718331224343e-08,1
0,r0_mlp,8536,0.02,0.0015192657010629773,1.2221811118706682e-08,1
0,r0_mlp,9221,0.02,0.0007292924565263093,1.1959982337828023e-08,1
0,r0_mlp,1611,0.02,0.0012881121365353465,1.1348630479801614e-08,1
0,r0_mlp,7515,0.02,0.0019181669922545552,1.2786476766279975e-08,1
0,r0_mlp,6955,0.02,0.0011915650684386492,1.4007867754628478e-08,1
0,r0_mlp,6687,0.02,0.0009083894547075033,1.1228024732190534e-08,1
0,r0_mlp,9435,0.02,0.000638105848338455,1.2900126300507964e-08,1
0,r0_mlp,5705,0.02,0.0009962056064978242,1.1129575483437293e-08,1
0,r0_mlp,7842,0.02,0.0009518024744465947,1.1897516749570514e-08,1
0,r0_mlp,7666,0.02,0.0005146294715814292,1.2090765721950447e-08,1
0,r0_mlp,1321,0.02,0.000541271991096437,1.2032449703269776e-08,1
0,r0_mlp,3281,0.02,0.0010280967690050602,1.1459338367103555e-08,1
0,r0_mlp,5843,0.02,0.0015382067067548633,1.5633412786542067e-08,1
0,r0_mlp,1544,0.02,0.001583156525157392,1.5794991981010753e-08,1
0,r0_mlp,1476,0.02,0.001620617462322116,1.392232551467032e-08,1
0,r0_mlp,1552,0.02,0.0010863683419302106,1.1155458778944194e-08,1
0,r0_mlp,2777,0.02,0.0005382503150030971,1.1146979339571317e-08,1
0,r0_mlp,1240,0.02,0.0008756894385442138,1.324995935192419e-08,1
0,r0_mlp,6482,0.02,0.0003314001369290054,1.1261211518842629e-08,1
0,r0_mlp,8698,0.02,0.0006852570804767311,1.1534665667056743e-08,1
0,r0_mlp,6248,0.02,0.0008540767012163997,1.1860278981146166e-08,1
0,r0_mlp,4323,0.02,0.0012868581106886268,1.2455057429860972e-08,1
0,r0_mlp,4597,0.02,0.0005465981084853411,1.1320411275050901e-08,1
0,r0_mlp,9046,0.02,0.0014996484387665987,1.2041724062328285e-08,1
0,r0_mlp,5389,0.02,0.0009489500662311912,1.201665256189699e-08,1
0,r0_mlp,5710,0.02,0.0015645677922293544,1.2352094458378815e-08,1
0,r0_mlp,7103,0.02,0.0012092863908037543,1.4696862393748233e-08,1
0,r0_mlp,7263,0.02,0.000573313154745847,1.1234468466625458e-08,1
0,r0_mlp,5244,0.02,0.0007490970892831683,1.1924904619320387e-08,1
0,r0_mlp,5242,0.02,0.0004438429023139179,1.1894259799305473e-08,1
0,r0_mlp,9775,0.02,0.0019052973948419094,1.7696157428304105e-08,1
0,r0_mlp,249,0.02,0.001448368770070374,1.6070794472966554e-08,1
0,r0_mlp,1521,0.02,0.0023842148948460817,2.102301621675906e-08,1
0,r0_mlp,5149,0.02,0.0017507014563307166,1.6557089921320767e-08,1
0,r0_mlp,7070,0.02,0.0009225509711541235,1.3093941042541246e-08,1
0,r0_mlp,6433,0.02,0.0018864510348066688,1.5767984251624512e-08,1
0,r0_mlp,2689,0.02,0.000542513735126704,1.1494374341225466e-08,1
0,r0_mlp,5968,0.02,0.0011249128729104996,1.1146753742252713e-08,1
0,r0_mlp,7768,0.02,0.0013158806832507253,1.6034716665558335e-08,1
0,r0_mlp,6122,0.02,0.0014795656315982342,1.512677805237672e-08,1
0,r0_mlp,4860,0.02,0.0006068082293495536,1.1035674596371337e-08,1
0,r0_mlp,3537,0.02,0.0010705424938350916,1.192154552853708e-08,1
0,r0_mlp,2000,0.02,0.0011986673343926668,1.5464969749245938e-08,1
0,r0_mlp,544,0.05,0.002510997699573636,3.502837131463821e-08,1
0,r0_mlp,4306,0.05,0.0044451565481722355,4.059293701175193e-08,1
0,r0_mlp,6410,0.05,0.002305616857483983,2.8460222623039044e-08,1
0,r0_mlp,6382,0.05,0.00347391190007329,3.869694964464543e-08,1
0,r0_mlp,8949,0.05,0.002672223374247551,1.8316503869186818e-08,1
0,r0_mlp,9600,0.05,0.003283478319644928,3.254619684867066e-08,1
0,r0_mlp,486,0.05,0.002144996542483568,2.0124730326642748e-08,1
0,r0_mlp,109,0.05,0.0030262696091085672,2.5533491765372673e-08,1
0,r0_mlp,2500,0.05,0.001929103396832943,1.2826427919776506e-08,1
0,r0_mlp,1413,0.05,0.0023195326793938875,1.4746915688590434e-08,1
0,r0_mlp,360,0.05,0.00172594899777323,1.5745850845405585e-08,1
0,r0_mlp,2139,0.05,0.001420466578565538,1.1462032212250506e-08,1
0,r0_mlp,9158,0.05,0.0015867241891101003,1.400267635176533e-08,1
0,r0_mlp,3213,0.05,0.002463169628754258,1.858321141412489e-08,1
0,r0_mlp,8351,0.05,0.0025300022680312395,2.1214360046428737e-08,1
0,r0_mlp,4655,0.05,0.003380406415089965,4.146850329789231e-08,1
0,r0_mlp,6249,0.05,0.0045858160592615604,3.065619935682662e-08,1
0,r0_mlp,8929,0.05,0.0026431032456457615,1.6532093027876726e-08,1
0,r0_mlp,6036,0.05,0.0037075134459882975,2.0727036087464512e-08,1
0,r0_mlp,1671,0.05,0.004296481143683195,4.236547823666115e-08,1
0,r0_mlp,3885,0.05,0.0021482014562934637,2.2448540804020922e-08,1
0,r0_mlp,3768,0.05,0.0025119800120592117,1.9145261376252165e-08,1
0,r0_mlp,4069,0.05,0.004778577014803886,2.6886931792091673e-08,1
0,r0_mlp,9482,0.05,0.0028850403614342213,2.6719428447563587e-08,1
0,r0_mlp,1037,0.05,0.002749584848061204,2.6771537875447393e-08,1
0,r0_mlp,9099,0.05,0.0048063043504953384,8.59376996231731e-08,1
0,r0_mlp,1129,0.05,0.003756339196115732,2.1384753523534528e-08,1
0,r0_mlp,2066,0.05,0.004571936558932066,6.751423597961548e-08,1
0,r0_mlp,8225,0.05,0.004035410936921835,4.5264730630378835e-08,1
0,r0_mlp,5603,0.05,0.003630679100751877,4.051744184607742e-08,1
0,r0_mlp,755,0.05,0.004386375192552805,2.29413359420505e-08,1
0,r0_mlp,9587,0.05,0.0029156641103327274,3.4482777522271135e-08,1
0,r0_mlp,9193,0.05,0.0031106655951589346,3.843740969955434e-08,1
0,r0_mlp,7416,0.05,0.004562071990221739,6.247681483273482e-08,1
0,r0_mlp,468,0.05,0.002477440284565091,2.484238592614929e-08,1
0,r0_mlp,5679,0.05,0.0014429183211177588,1.282449257899998e-08,1
0,r0_mlp,2267,0.05,0.001942350179888308,1.3846607416212464e-08,1
0,r0_mlp,848,0.05,0.000860402884427458,1.3599131598596159e-08,1
0,r0_mlp,6745,0.05,0.0033648551907390356,2.4167794876461812e-08,1
