model_seed,method,partition,geometry,metric,mean,source_ci_low,source_ci_high,source_blocks
3,r1_linear,trained,nominal,rho,0.3366517492194645,0.313062240549861,0.36186959321726403,640
3,r1_linear,trained,nominal,stress,0.5035900334562274,0.49288638225431036,0.5142502366295901,640
3,r1_linear,trained,functional,rho,0.3211778459481663,0.29773632261793526,0.3462069838085109,640
3,r1_linear,trained,functional,stress,0.5468032009660184,0.5357235256063603,0.5574842639773726,640
3,r1_linear,heldout_dense,nominal,rho,0.24716492156812225,0.22703210808323054,0.2674641523061713,640
3,r1_linear,heldout_dense,nominal,stress,0.5625256704116189,0.5548480597905593,0.5707853159083599,640
3,r1_linear,heldout_dense,functional,rho,0.23502438671873843,0.2154726648199797,0.2548057067931736,640
3,r1_linear,heldout_dense,functional,stress,0.601306664915143,0.5935013905135852,0.6097568078360701,640
3,r2_prototype_energy,trained,nominal,rho,0.41968244969960156,0.3967953747969188,0.44300379701597975,640
3,r2_prototype_energy,trained,nominal,stress,0.4563315398312392,0.44797788085887186,0.4645021638630344,640
3,r2_prototype_energy,trained,functional,rho,0.38488106519213744,0.3637755252055581,0.4070026387503815,640
3,r2_prototype_energy,trained,functional,stress,0.4861584066124699,0.477309532563875,0.49422765163806304,640
3,r2_prototype_energy,heldout_dense,nominal,rho,0.2887879658037026,0.26767610016711885,0.3093265204010541,640
3,r2_prototype_energy,heldout_dense,nominal,stress,0.519326295021186,0.5123693662181912,0.5263366120108439,640
3,r2_prototype_energy,heldout_dense,functional,rho,0.26269431684543754,0.24278036726318306,0.2822720459426334,640
3,r2_prototype_energy,heldout_dense,functional,stress,0.5429442154288043,0.5359197608545199,0.5500992360698491,640
3,r3_hybrid_energy,trained,nominal,rho,0.4257905694119561,0.4028059135724053,0.44876678313483137,640
3,r3_hybrid_energy,trained,nominal,stress,0.4594575673290489,0.4509085830936825,0.46776288933041993,640
3,r3_hybrid_energy,trained,functional,rho,0.37082742390273626,0.3499704297629889,0.39362238041463504,640
3,r3_hybrid_energy,trained,functional,stress,0.49351918496520214,0.4847598563912756,0.5019456965746582,640
3,r3_hybrid_energy,heldout_dense,nominal,rho,0.2902288078223809,0.26959040287313496,0.3106987783396433,640
3,r3_hybrid_energy,heldout_dense,nominal,stress,0.5178577822091465,0.5110226872657051,0.5250099737596543,640
3,r3_hybrid_energy,heldout_dense,functional,rho,0.2542509826159824,0.23561671687261715,0.2733103687969587,640
3,r3_hybrid_energy,heldout_dense,functional,stress,0.542917145568544,0.5360019507974195,0.5499568036883266,640
4,r0_mlp,trained,nominal,rho,0.283665052202535,0.25867266237948416,0.30815761905887973,640
4,r0_mlp,trained,nominal,stress,0.5376033621555385,0.5272802691160587,0.5477390003132867,640
4,r0_mlp,trained,functional,rho,0.27309750850506304,0.24728176400859075,0.2979287532186294,640
4,r0_mlp,trained,functional,stress,0.5646101339164584,0.5538156924116511,0.5748536815392623,640
4,r0_mlp,heldout_dense,nominal,rho,0.19497186028351754,0.17395768373580028,0.2161564163999435,640
4,r0_mlp,heldout_dense,nominal,stress,0.5945244692066062,0.5858809062172863,0.6030971045865211,640
4,r0_mlp,heldout_dense,functional,rho,0.1789900406123372,0.15830783406572346,0.20013259618391868,640
4,r0_mlp,heldout_dense,functional,stress,0.6228881227607406,0.6138352856723894,0.6318416646924097,640
4,r1_linear,trained,nominal,rho,0.339373090359603,0.31461236215003296,0.36149714689333995,640
4,r1_linear,trained,nominal,stress,0.4792495532346783,0.4703047202203005,0.48820727772645184,640
4,r1_linear,trained,functional,rho,0.3500457504674571,0.326828543187011,0.3723620758513745,640
4,r1_linear,trained,functional,stress,0.509191168953617,0.4995805114985996,0.5186379463097949,640
4,r1_linear,heldout_dense,nominal,rho,0.22669343816674017,0.20712939706872174,0.24594899498855957,640
4,r1_linear,heldout_dense,nominal,stress,0.5472624047616027,0.5403349868629695,0.5542991902291933,640
4,r1_linear,heldout_dense,functional,rho,0.23822017431616702,0.21838727209746323,0.2576092971931179,640
