partition,method,space,source_rho_mean,source_rho_ci_low,source_rho_ci_high,source_stress_mean,source_stress_ci_low,source_stress_ci_high,centroid_rho,centroid_stress
C1_trained,cb_d4_no_geo,synthesis,0.5497556038668401,0.514612189485239,0.5853273315209537,0.3759016649916642,0.36618791132086925,0.3856553411738641,0.6102160571171791,0.36366682801586575
C1_trained,cb_d4_full_alignment,sensory,0.5031253241115479,0.4676597436597525,0.5414798465492474,0.3890499079085929,0.3802183105045764,0.3982764540111878,0.5911468053322673,0.3591983611844472
C1_trained,cb_d4_full_alignment,context,0.5414376359658695,0.5072135432604876,0.5759131299398998,0.38801318391462936,0.37737186468154715,0.39995914752623507,0.5593647190240808,0.39365185195716956
C1_trained,cb_d4_full_alignment,route,0.35623249395589873,0.3181858604793097,0.39582664190839234,0.46575530452253167,0.4507302240559001,0.48065015573818937,0.5593647190240808,0.38910237040178547
C1_trained,cb_d4_full_alignment,synthesis,0.5524372173990932,0.5166451256699912,0.5873608884495791,0.37541569916295353,0.365948057979658,0.38506014768534486,0.6419981434253654,0.35996828421576094
C2_interpolation,cb_d2_no_geo,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d2_no_geo,context,0.2849789994612385,0.22858896076708418,0.33388291469238823,0.49751010900446346,0.47686432781387467,0.5187408534585763,0.9258200997725515,0.18347637637007758
C2_interpolation,cb_d2_no_geo,route,0.28702834082792256,0.2321059922007905,0.3376711824834498,0.5268519377439256,0.5075091063938352,0.5477828906275615,0.12344267996967354,0.5352227330287173
C2_interpolation,cb_d2_no_geo,synthesis,0.6461452779662599,0.6064664126224922,0.6828736944894632,0.3126341152849086,0.3025286516193598,0.322641435081196,0.9258200997725515,0.2326337785612108
C2_interpolation,cb_d2_route_geo,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d2_route_geo,context,0.2572526162649251,0.20833061860995175,0.2978205341133572,0.5057248681276558,0.48713573630033136,0.5241139903431786,0.9258200997725515,0.1355373377823966
C2_interpolation,cb_d2_route_geo,route,0.23314271783334828,0.1855769019651511,0.28332144394406755,0.5116826150190422,0.4932314892610084,0.5301106834973209,0.7715167498104596,0.25440210724730505
C2_interpolation,cb_d2_route_geo,synthesis,0.6539809949565223,0.6161857154277217,0.6915984639843902,0.3118749142888968,0.30218443080262947,0.32221266580133223,0.9258200997725515,0.22499755533406565
C2_interpolation,cb_d2_context_geo,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d2_context_geo,context,0.26641437766892434,0.22500261337538713,0.31433882827629117,0.5065332422823161,0.48810777814406225,0.5244208307600847,-0.06172133998483677,0.6136493943030227
C2_interpolation,cb_d2_context_geo,route,0.30462856668297367,0.2606852630541209,0.35369823746584045,0.508669552863461,0.4901382919100239,0.5273062289213843,0.06172133998483677,0.5071422376033056
C2_interpolation,cb_d2_context_geo,synthesis,0.6566330837839958,0.6179517654878347,0.6930058793053334,0.3103411698983833,0.3004303448600224,0.3196633097111137,0.9258200997725515,0.2210044730311606
C2_interpolation,cb_d2_route_context_geo,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d2_route_context_geo,context,0.25881975966297766,0.2159252366158985,0.30655434482019583,0.5060447421854707,0.48810307311923373,0.5232684115788866,-0.06172133998483677,0.5850279714917282
C2_interpolation,cb_d2_route_context_geo,route,0.3135492291026571,0.2709832034217082,0.3618956029325766,0.5111051594827946,0.49479621374175536,0.5249679851238263,0.12344267996967354,0.5107992923298809
C2_interpolation,cb_d2_route_context_geo,synthesis,0.6550659403859433,0.6166377760233138,0.6911222934903665,0.3104340446988092,0.30057434092504093,0.31960668725131647,0.9258200997725515,0.2235095628580471
C2_interpolation,cb_d2_full_alignment,sensory,0.6337286802739978,0.5933958339352737,0.6724431496805023,0.3180167647684137,0.30875125424330724,0.3279972651920233,0.9258200997725515,0.22616741029103474
C2_interpolation,cb_d2_full_alignment,context,0.4800280777726953,0.4241955804797712,0.5244083733106204,0.441023120451316,0.4240505248638953,0.45900970989051504,0.4320493798938574,0.45174893344454364
