contrast,partition,space,metric,delta_mean,delta_ci_low,delta_ci_high,source_blocks
combined_geometry_effect_d2,C2_interpolation,context,rho,-0.026159239798260892,-0.09174419100675786,0.04102901965593589,256
combined_geometry_effect_d2,C2_interpolation,context,stress,0.008534633181007258,-0.016639636653389366,0.031983571630455995,256
combined_geometry_effect_d2,C2_interpolation,route,rho,0.026520888274734544,-0.03590867997652977,0.08948991550340538,256
combined_geometry_effect_d2,C2_interpolation,route,stress,-0.01574677826113096,-0.037853395741257734,0.006074497180766387,256
combined_geometry_effect_d2,C2_interpolation,synthesis,rho,0.008920662419683442,-0.002594827818698456,0.01935723470325227,256
combined_geometry_effect_d2,C2_interpolation,synthesis,stress,-0.0022000705860993975,-0.0046176429979421394,-0.0001860761833387491,256
global_alignment_effect_d2,C1_trained,context,rho,0.2147028908647562,0.17591570994743141,0.25497861559003077,256
global_alignment_effect_d2,C1_trained,context,stress,-0.08731853934287931,-0.10474001306775135,-0.06992420117945088,256
global_alignment_effect_d2,C1_trained,route,rho,0.075507284736871,0.030995603820833443,0.1213386671273461,256
global_alignment_effect_d2,C1_trained,route,stress,-0.025578204772933065,-0.04308409490006611,-0.010296870145418606,256
global_alignment_effect_d2,C1_trained,synthesis,rho,0.02048454781582328,0.00996852585982746,0.030877662484924157,256
global_alignment_effect_d2,C1_trained,synthesis,stress,-0.005033179023314965,-0.006984065181888102,-0.0029767905403673602,256
global_alignment_effect_d2,C2_interpolation,context,rho,0.22120831810971772,0.1616960475686742,0.2792167337360916,256
global_alignment_effect_d2,C2_interpolation,context,stress,-0.06502162173415468,-0.08636374854048288,-0.04082403378588405,256
global_alignment_effect_d2,C2_interpolation,route,rho,0.06678441865546791,0.00706420024045204,0.1180932962551674,256
global_alignment_effect_d2,C2_interpolation,route,stress,-0.01390212273423851,-0.034525704850919506,0.006638011497125426,256
global_alignment_effect_d2,C2_interpolation,synthesis,rho,0.002893187811789223,-0.010487805817735936,0.014529227542329003,256
global_alignment_effect_d2,C2_interpolation,synthesis,stress,-0.00257281242230087,-0.005417022576213386,0.0005290826121750318,256
full_geometry_effect_d4,C1_trained,context,rho,0.240103730156377,0.19853499594321272,0.2847110056288884,256
full_geometry_effect_d4,C1_trained,context,stress,-0.07847738474549035,-0.09310827755156775,-0.06455127925274803,256
full_geometry_effect_d4,C1_trained,route,rho,0.16462127517443428,0.11397292032787468,0.21616660491777764,256
full_geometry_effect_d4,C1_trained,route,stress,-0.07724316070710412,-0.0974167618356872,-0.05536209454012858,256
full_geometry_effect_d4,C1_trained,synthesis,rho,0.0026816135322532296,-0.0025574647576118775,0.008417286920683748,256
full_geometry_effect_d4,C1_trained,synthesis,stress,-0.0004859658287106474,-0.0009522696024516311,7.117589014717325e-05,256
full_geometry_effect_d4,C2_interpolation,context,rho,0.282326910633765,0.2321542119976536,0.33220727675139367,256
full_geometry_effect_d4,C2_interpolation,context,stress,-0.10122698239736089,-0.11811201260568925,-0.08275109150738034,256
full_geometry_effect_d4,C2_interpolation,route,rho,0.23085227748234846,0.169284638100013,0.2925977273656168,256
full_geometry_effect_d4,C2_interpolation,route,stress,-0.10579029788903174,-0.13006847699365695,-0.08091238094093553,256
full_geometry_effect_d4,C2_interpolation,synthesis,rho,0.0019287918745261473,-0.0037430617315023086,0.007296258012855944,256
full_geometry_effect_d4,C2_interpolation,synthesis,stress,8.46510683556556e-05,-0.00042710225162810096,0.0006138820448821489,256
capacity_d4_vs_d2,C1_trained,context,rho,0.13887281931381767,0.09775598664034792,0.17825094839843525,256
capacity_d4_vs_d2,C1_trained,context,stress,-0.10602970214793193,-0.12220185417870102,-0.09014951579505719,256
capacity_d4_vs_d2,C1_trained,route,rho,0.02912530253086145,-0.020568968982579382,0.07852906591164152,256
capacity_d4_vs_d2,C1_trained,route,stress,-0.08188666399043208,-0.10149570821527834,-0.061959810597891934,256
capacity_d4_vs_d2,C1_trained,synthesis,rho,-0.023488948162144023,-0.03751589746499731,-0.010773630663376632,256
capacity_d4_vs_d2,C1_trained,synthesis,stress,0.006542621517574702,0.002725685443421011,0.009584110277656842,256
capacity_d4_vs_d2,C2_interpolation,context,rho,0.15237455808756575,0.1030004998370003,0.20491906798188353,256
capacity_d4_vs_d2,C2_interpolation,context,stress,-0.12000364766064357,-0.14310339194822946,-0.0991325071847643,256
capacity_d4_vs_d2,C2_interpolation,route,rho,0.0676282651005731,0.004674306558422001,0.13025071253928994,256
capacity_d4_vs_d2,C2_interpolation,route,stress,-0.10448447379732931,-0.1292951621799676,-0.08138195486346372,256
capacity_d4_vs_d2,C2_interpolation,synthesis,rho,-0.007353519021630946,-0.022663304525682257,0.008381203442276901,256
capacity_d4_vs_d2,C2_interpolation,synthesis,stress,0.004830350513741774,0.00046312985320959635,0.008641358079896067,256
