model_seed,method,variant,root_route_r2,root_chord_error,functional_transport_error,evaluation_samples
2,r2_prototype_energy,angle_shuffled,0.01245534303581863,0.41930774772611934,0.542479932308197,768
2,r2_prototype_energy,tangent_removed,0.7724418257934444,0.1741819769926879,0.17179261147975922,768
2,r2_prototype_energy,matched_orthogonal_component,0.390042733689694,0.3127055328507215,0.34655019640922546,768
3,r0_mlp,full_context,0.9914400523294805,0.00532177743830693,5.5047461501089856e-05,768
3,r0_mlp,angle_shuffled,0.05886747549276331,0.09429491195232607,0.12764506042003632,768
3,r0_mlp,tangent_removed,0.9109966771420036,0.026808753238629773,0.02530618943274021,768
3,r0_mlp,matched_orthogonal_component,0.29892532015532225,0.07894164598365914,0.10328558832406998,768
3,r1_linear,full_context,0.9959797283789115,0.004268162325107889,1.4169510222927784e-06,768
3,r1_linear,angle_shuffled,0.05918119344679196,0.07509712326273779,0.09233101457357407,768
3,r1_linear,tangent_removed,0.7029945994298454,0.03711916089345401,0.0307269636541605,768
3,r1_linear,matched_orthogonal_component,0.37492395116761124,0.05979449983184468,0.06939010322093964,768
3,r2_prototype_energy,full_context,0.9179914499101094,0.0998693256657931,0.10707056522369385,768
3,r2_prototype_energy,angle_shuffled,0.022947795754953666,0.40292713069370095,0.4825769364833832,768
3,r2_prototype_energy,tangent_removed,0.6391369509545332,0.2106249368568536,0.21471665799617767,768
3,r2_prototype_energy,matched_orthogonal_component,0.3201967183612592,0.3173357624738377,0.3758128583431244,768
4,r0_mlp,full_context,0.9945121874920325,0.002196973371217868,4.4869945980963166e-08,768
4,r0_mlp,angle_shuffled,-0.03507543535850127,0.031973269805712023,0.03095625340938568,768
4,r0_mlp,tangent_removed,0.9782452889116333,0.003915186839431233,5.210519589127216e-07,768
4,r0_mlp,matched_orthogonal_component,0.7908193467911218,0.013149395094347571,0.0034132078289985657,768
4,r1_linear,full_context,0.9962052917799498,0.0034910957086249166,4.4326245784986895e-08,768
4,r1_linear,angle_shuffled,-0.05064056255692853,0.0730436453922645,0.09141412377357483,768
4,r1_linear,tangent_removed,0.9378978296471567,0.01440868223132556,0.006011562887579203,768
4,r1_linear,matched_orthogonal_component,0.31253777634121205,0.055609731843257904,0.06897447258234024,768
4,r2_prototype_energy,full_context,0.8670402345918584,0.1447693936112434,0.15042130649089813,768
4,r2_prototype_energy,angle_shuffled,-0.024296877197510423,0.5069002163819564,0.5831757187843323,768
4,r2_prototype_energy,tangent_removed,0.8660786988154423,0.1445364452352175,0.15048347413539886,768
4,r2_prototype_energy,matched_orthogonal_component,0.581958510187395,0.27738271764328176,0.30853816866874695,768
